Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,cnn_layers,dropout,epoch,features,filters,gru_layers,kernel_size,lags,learning_rate,n_periods,pool_size,prediction_start_date,units,accuracy_daily,avg_accuracy,avg_mae,avg_mape,avg_mse,avg_precision,avg_rmse,avg_rmspe,mae_daily,mape_daily,mse_daily,precision_daily,rmse_daily,rmspe_daily,model_selected
16/08/2025 14:46,16.0s,1a657578b27d4403814e87ba44f87eec,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,7,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,7,14,0.01,7,2,04/03/2023,32,0.496240602,0.501611171,74.85997421,0.041239505,9065.584255,0.505925201,93.36237631,5.226011136,104.4371909,0.056345477,15648.37055,0.5,125.0934473,6.717008456,0
16/08/2025 14:52,19.0s,3e97a898aac443a988e2419094940ee1,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,3,0.1,8,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,7,14,0.01,7,0,04/03/2023,32,0.428571429,0.482277121,76.88581522,0.042891714,9827.511411,0.486851914,98.85402341,5.695072372,75.85066464,0.041491902,9955.593848,0.434782609,99.7777222,5.579854465,0
16/08/2025 14:53,30.3s,7faecc60d3d3481396391cf2b007efb3,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,3,0.1,34,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,7,14,0.01,7,0,04/03/2023,32,0.556390977,0.460794844,78.51592749,0.042974285,10184.80111,0.464671152,100.5637472,5.59242199,74.42757812,0.040556619,9470.327383,0.558823529,97.31560709,5.396202567,0
16/08/2025 14:32,104ms,096b210bcec34d369e8d04fdf3964398,ETH_base_BTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/08/2025 15:36,18.4s,9c102ba650924d71ba3b9ec1af6f80f2,ETH_base_sent_finbert,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,1,0.05,31,"['ETH_D_AvgPrc', 'D_FINBERT_AvgScr_Ex', 'D_FINBERT_Sent_AvgEx']",32,2,3,21,0.01,7,0,04/03/2023,32,0.406015038,0.485499463,62.20014614,0.034244071,6993.677626,0.490711825,81.35148173,4.532151348,80.4818581,0.044294257,11221.59896,0.411764706,105.9320488,5.892789649,1
16/08/2025 14:32,102ms,715390e4c00f4d808b79bd275d276392,ETH_base_BTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/08/2025 14:30,18.8s,3be23b8968f54c0093d2602aee573b73,ETH_base_BTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,2,0,34,"['ETH_D_AvgPrc', 'BTC_D_AvgPrc', 'BTC_OL_MinDif', 'BTC_OL_AvgTransFee', 'BTC_BIC_HshRt']",32,2,7,7,0.001,7,0,04/03/2023,32,0.436090226,0.490870032,75.80465498,0.041491803,9453.875456,0.495512687,95.92101712,5.25132389,92.95985424,0.050618268,13534.09557,0.439393939,116.3361318,6.319378188,0
16/08/2025 14:31,103ms,27647ec6ff1c4f4c83bbcd8821e01045,ETH_base_BTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/08/2025 14:31,25.8s,1f5d0a4f6dca43bfab472c3da9d1c498,ETH_base_BTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,3,0,60,"['ETH_D_AvgPrc', 'BTC_D_AvgPrc', 'BTC_OL_MinDif', 'BTC_OL_AvgTransFee', 'BTC_BIC_HshRt']",16,2,7,7,0.001,7,0,04/03/2023,32,0.421052632,0.499462943,76.44895114,0.041940956,9792.724192,0.503582961,98.1552584,5.411486393,88.3488602,0.048300851,12562.7025,0.424242424,112.0834622,6.151997804,0
16/08/2025 14:31,103ms,1abe510a21b44d04a91acbfc555b4ee8,ETH_base_BTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
