Time,ETH total supply,Price
2016-08-20,8.316662315573E7,11.01842213
2016-08-21,8.319883924948E7,11.16414452
2016-08-22,8.323124159323E7,11.19819069
2016-08-23,8.326370940573E7,10.97469711
2016-08-24,8.329567159323E7,11.04823494
2016-08-25,8.332780706198E7,11.24854374
2016-08-26,8.335988221823E7,11.29399109
2016-08-27,8.339195393698E7,11.19051075
2016-08-28,8.342398565573E7,11.10728836
2016-08-29,8.345610253073E7,10.91968632
2016-08-30,8.348801768698E7,11.19962215
2016-08-31,8.351979471823E7,11.20655727
2016-09-01,8.355198737448E7,12.0040493
2016-09-02,8.358407503073E7,12.05083942
2016-09-03,8.361579581198E7,11.68476868
2016-09-04,8.364738206198E7,11.7645483
2016-09-05,8.367972206198E7,11.73810863
2016-09-06,8.371148659323E7,11.61868286
2016-09-07,8.374379784323E7,11.6288023
2016-09-08,8.377547440573E7,11.56850052
2016-09-09,8.380761956198E7,11.45089531
2016-09-10,8.383979424948E7,11.72736263
2016-09-11,8.387200909323E7,11.85478401
2016-09-12,8.390401909323E7,11.65324211
2016-09-13,8.393638362448E7,12.08258915
2016-09-14,8.396857112448E7,11.94601536
2016-09-15,8.400075331198E7,12.00962353
2016-09-16,8.403290049948E7,11.93481731
2016-09-17,8.406526674948E7,12.58448887
2016-09-18,8.409733018698E7,12.67479992
2016-09-19,8.412825690573E7,12.73502922
2016-09-20,8.416148206198E7,13.38055134
2016-09-21,8.419339706198E7,14.20669651
2016-09-22,8.422354112448E7,12.84622383
2016-09-23,8.425909159323E7,13.10164452
2016-09-24,8.429227206198E7,12.92832279
2016-09-25,8.432673003073E7,12.98826027
2016-09-26,8.435869065573E7,12.88971233
2016-09-27,8.439361534323E7,13.16527462
2016-09-28,8.442703362448E7,13.44039631
2016-09-29,8.445957174948E7,13.25716496
2016-09-30,8.449129924948E7,13.33109093
2016-10-01,8.452448174948E7,13.13239765
2016-10-02,8.456039034323E7,13.16473293
2016-10-03,8.459442518698E7,13.20552063
2016-10-04,8.462650299948E7,13.39880371
2016-10-05,8.465871237448E7,13.25749874
2016-10-06,8.469225956198E7,12.84533882
2016-10-07,8.472781659323E7,12.92625523
2016-10-08,8.476422674948E7,12.64265347
2016-10-09,8.479817503073E7,12.26047421
2016-10-10,8.483160518698E7,11.90778828
2016-10-11,8.486414581198E7,12.13507748
2016-10-12,8.489657487448E7,11.73500061
2016-10-13,8.493125831198E7,11.99354458
2016-10-14,8.496451721823E7,11.9192934
2016-10-15,8.499720503073E7,11.86220741
2016-10-16,8.502979128073E7,11.95855045
2016-10-17,8.506249159323E7,11.92120838
2016-10-18,8.509556862448E7,12.19547844
2016-10-19,8.512777268698E7,12.49901009
2016-10-20,8.516332159323E7,12.20103645
2016-10-21,8.519551659323E7,12.08692837
2016-10-22,8.522733690573E7,12.12838173
2016-10-23,8.525900409323E7,11.96116257
2016-10-24,8.529075409323E7,11.99033356
2016-10-25,8.532262065573E7,11.26816273
2016-10-26,8.535438128073E7,11.58884907
2016-10-27,8.538599393698E7,11.43562508
2016-10-28,8.541760721823E7,11.53957653
2016-10-29,8.544721174948E7,11.10292244
2016-10-30,8.547833065573E7,10.48897076
2016-10-31,8.551066987448E7,11.17594051
2016-11-01,8.554142299948E7,10.73330975
2016-11-02,8.557231659323E7,10.9131155
2016-11-03,8.560361440573E7,10.79964828
2016-11-04,8.563474065573E7,10.93370247
2016-11-05,8.566591971823E7,11.05909157
2016-11-06,8.569730299948E7,10.87234211
2016-11-07,8.573027690573E7,10.89083767
2016-11-08,8.576330721823E7,10.89247608
2016-11-09,8.579469987448E7,10.42971802
2016-11-10,8.582569815573E7,10.55637455
2016-11-11,8.585710190573E7,10.51397896
2016-11-12,8.588843940573E7,10.181036
2016-11-13,8.592086565573E7,10.19999409
2016-11-14,8.595274690573E7,9.98183823
2016-11-15,8.598465924948E7,10.24454117
2016-11-16,8.601599596823E7,10.28198242
2016-11-17,8.604709674948E7,10.10865688
2016-11-18,8.607976034323E7,9.97877407
2016-11-19,8.611207331198E7,9.57619572
2016-11-20,8.614425034323E7,9.61849403
2016-11-21,8.617649065573E7,9.57175732
2016-11-22,8.620806893698E7,9.94512939
2016-11-23,8.623990331198E7,9.87179089
2016-11-24,8.627301206198E7,9.78180313
2016-11-25,8.630552096823E7,9.27416229
2016-11-26,8.633838253073E7,9.37100124
2016-11-27,8.637166706198E7,9.12840176
2016-11-28,8.640569768698E7,8.95883465
2016-11-29,8.643925174948E7,8.48675156
2016-11-30,8.647112440573E7,8.27385712
2016-12-01,8.650298034323E7,8.39436626
2016-12-02,8.653468440573E7,7.63683796
2016-12-03,8.656684003073E7,7.90301895
2016-12-04,8.659818690573E7,7.90249872
2016-12-05,8.662926237448E7,7.46398783
2016-12-06,8.666100862448E7,6.9359355
2016-12-07,8.669299003073E7,7.57976294
