Time,ETH average daily block size,Price
2016-11-14,1469.4096583442838,9.98183823
2016-11-15,1658.9991777668147,10.24454117
2016-11-16,1433.2409538102384,10.28198242
2016-11-17,1529.8640580199021,10.10865688
2016-11-18,1447.6253217503217,9.97877407
2016-11-19,1413.1717352415026,9.57619572
2016-11-20,1504.6248363874345,9.61849403
2016-11-21,1486.965903555772,9.57175732
2016-11-22,1555.458784346378,9.94512939
2016-11-23,2107.8667802385007,9.87179089
2016-11-24,1491.4649332877182,9.78180313
2016-11-25,1732.04182062479,9.27416229
2016-11-26,1505.2395307153333,9.37100124
2016-11-27,1665.329417773238,9.12840176
2016-11-28,1628.8791390728477,8.95883465
2016-11-29,1792.642322408917,8.48675156
2016-11-30,2245.282085339532,8.27385712
2016-12-01,1405.4645682267633,8.39436626
2016-12-02,1433.7857614800132,7.63683796
2016-12-03,1461.4656822975824,7.90301895
2016-12-04,1430.0982217051687,7.90249872
2016-12-05,1403.1418285331547,7.46398783
2016-12-06,1621.8389648920388,6.9359355
2016-12-07,1561.9751146037984,7.57976294
2016-12-08,1437.260626948958,8.57879162
2016-12-09,1502.9296100462657,8.57343674
2016-12-10,1380.3738716559988,8.30651474
2016-12-11,1710.1918746940773,8.21545887
2016-12-12,1439.5041904123366,8.41560459
2016-12-13,1496.2446633825944,8.44915771
2016-12-14,1857.414079362444,8.3716526
2016-12-15,1562.8129106438896,7.98988962
2016-12-16,1613.1277263714474,7.83320808
2016-12-17,1367.2388797364085,7.78552341
2016-12-18,1407.6350749958794,7.89772511
2016-12-19,1523.2593811718236,7.74505043
2016-12-20,1548.2624959163672,7.63710451
2016-12-21,1671.6296970700216,7.67782974
2016-12-22,1844.370876374542,7.61255884
2016-12-23,1574.441290758574,7.40170383
2016-12-24,1445.0695884911343,7.33150196
2016-12-25,1253.585676913015,7.31269884
2016-12-26,1284.3865120836056,7.28469181
2016-12-27,1505.3655092208007,7.21640587
2016-12-28,1591.1445682914657,7.3052659
2016-12-29,1567.5579363771221,8.08511066
2016-12-30,1705.7657434882954,8.1172781
2016-12-31,1586.1201716738196,7.97572088
2017-01-01,1408.4602225543929,8.44290161
2017-01-02,1421.8220156068405,8.29045868
2017-01-03,1454.3395071936498,8.42391968
2017-01-04,1756.663939685595,10.40668869
2017-01-05,1696.6404679518866,10.17251587
2017-01-06,1630.2490026595744,10.12520123
2017-01-07,1601.7244729907773,10.04981232
2017-01-08,1578.7470753007085,10.08623219
2017-01-09,1521.9649470899471,10.32278633
2017-01-10,1669.6490131578948,10.40650654
2017-01-11,1638.0229562345169,9.87361526
2017-01-12,1621.417927631579,9.5852623
2017-01-13,1827.5205659756498,9.74505711
2017-01-14,1530.006598482349,9.6504097
2017-01-15,1490.2869881109643,9.8756094
2017-01-16,1497.042241946088,9.84827423
2017-01-17,1644.1375310687656,10.10851097
2017-01-18,1612.7322703869788,10.13010597
2017-01-19,1599.7438607903723,10.26816368
2017-01-20,1589.2553475935829,10.58528042
2017-01-21,1520.78740936058,10.85219193
2017-01-22,1568.9145936981758,10.72018909
2017-01-23,1598.1067017948296,10.72600555
2017-01-24,1764.534663341646,10.71712017
2017-01-25,1672.3583402489626,10.5147543
2017-01-26,1680.7130578512397,10.57678699
2017-01-27,1610.9030383529803,10.48508549
2017-01-28,1693.192167275141,10.51917839
2017-01-29,1527.4080642462775,10.49586296
2017-01-30,1556.3805280528052,10.50073338
2017-01-31,1553.858218729535,10.56471634
2017-02-01,1569.1800437489483,10.62877083
2017-02-02,1603.5937033968517,10.67805576
2017-02-03,1539.2169654714476,10.87989998
2017-02-04,1572.043723087115,11.3878479
2017-02-05,1633.0088019559903,11.3610239
2017-02-06,1583.1850492240949,11.39671993
2017-02-07,1744.943857331572,11.46568871
2017-02-08,1835.5015751948267,11.34819221
2017-02-09,1630.0860179342412,11.54552555
2017-02-10,1694.513960019825,11.06329632
2017-02-11,1667.064191419142,11.27564049
2017-02-12,1532.8353293413174,11.31136131
2017-02-13,1784.4979410311316,11.20249748
2017-02-14,1803.1349389640384,12.58078289
2017-02-15,1905.69799768327,12.81957531
2017-02-16,1733.1023765996345,12.60032368
2017-02-17,1605.1295599541959,12.78670406
2017-02-18,1820.5641891891892,12.7598362
2017-02-19,1640.8310743801653,12.80346584
2017-02-20,1661.0435935687055,12.86492729
2017-02-21,1973.628353759523,12.48175907
2017-02-22,1789.1467798302547,12.70765495
2017-02-23,1755.3066510695187,12.77905083
2017-02-24,1669.3027009222662,13.0295639
2017-02-25,1762.4855529724343,13.61951256
2017-02-26,1719.208575702177,13.46938324
2017-02-27,1816.5442470529636,14.63193226
2017-02-28,1898.0361147757255,15.80909538
2017-03-01,2140.538718291055,15.73847675
2017-03-02,2234.923588039867,18.7517395
2017-03-03,2119.2347510715463,18.50421143
2017-03-04,1928.298315824579,19.98473167
2017-03-05,1804.6336845571288,18.85466194
2017-03-06,1815.42,19.22690392
2017-03-07,1968.64179357022,19.42888832
2017-03-08,1788.0739151955122,18.37753296
2017-03-09,2203.3367884451995,17.54300308
2017-03-10,2285.4197098549275,18.28123283
2017-03-11,2032.424450779809,19.06263924
2017-03-12,2046.9467089876377,21.85354805
2017-03-13,2261.4763412195935,25.04587555
2017-03-14,2506.281375838926,28.24926949
2017-03-15,2379.165246449457,30.52957153
2017-03-16,2998.485112077618,40.88731766
2017-03-17,2951.1882955860474,46.54584885
2017-03-18,2499.7947184853015,36.93608093
2017-03-19,2471.552972881927,39.4142952
2017-03-20,2298.9607485922493,44.19563293
2017-03-21,2547.9766621893887,44.21334076
2017-03-22,2372.0864548494983,39.89975739
