Time,Number of new addresses added per day on ETH,Price
2016-05-05,1391.0,9.60092926
2016-05-06,1589.0,9.75081062
2016-05-07,1475.0,9.30714512
2016-05-08,1312.0,9.26994324
2016-05-09,1819.0,9.41054821
2016-05-10,1715.0,9.40432358
2016-05-11,2477.0,9.46284485
2016-05-12,3113.0,10.33878708
2016-05-13,2637.0,10.39747715
2016-05-14,2831.0,10.29762363
2016-05-15,2558.0,10.0948925
2016-05-16,1568.0,10.16970253
2016-05-17,2092.0,11.30505466
2016-05-18,4113.0,13.38962555
2016-05-19,2547.0,13.85283089
2016-05-20,3961.0,14.72865677
2016-05-21,6479.0,13.66317368
2016-05-22,2100.0,14.05455685
2016-05-23,2578.0,13.64112186
2016-05-24,2163.0,13.50997543
2016-05-25,2785.0,12.23726654
2016-05-26,2278.0,12.3975172
2016-05-27,3402.0,10.94718933
2016-05-28,10207.0,10.60098743
2016-05-29,6931.0,12.05819702
2016-05-30,2562.0,12.33735371
2016-05-31,2433.0,13.99980831
2016-06-01,2732.0,14.06221104
2016-06-02,2123.0,13.71955585
2016-06-03,2081.0,13.43216801
2016-06-04,1922.0,13.61271477
2016-06-05,1720.0,13.64867115
2016-06-06,2098.0,13.85687065
2016-06-07,1935.0,14.37166882
2016-06-08,6456.0,14.66327095
2016-06-09,2009.0,14.4991045
2016-06-10,2546.0,14.21828842
2016-06-11,2638.0,13.91207123
2016-06-12,2647.0,14.43261623
2016-06-13,4588.0,16.94645119
2016-06-14,4386.0,18.11354256
2016-06-15,3039.0,18.37888336
2016-06-16,4551.0,19.52018738
2016-06-17,11156.0,16.71063805
2016-06-18,14899.0,14.45183182
2016-06-19,9269.0,12.41148281
2016-06-20,5740.0,11.93075275
2016-06-21,4862.0,11.63643742
2016-06-22,5637.0,14.68105698
2016-06-23,4140.0,12.69409752
2016-06-24,3744.0,13.91169453
2016-06-25,2679.0,14.45978928
2016-06-26,2298.0,14.23734951
2016-06-27,2327.0,13.82566166
2016-06-28,3229.0,12.92706299
2016-06-29,2952.0,12.46104908
2016-06-30,2510.0,12.48039055
2016-07-01,2816.0,12.38272381
2016-07-02,2654.0,12.18954659
2016-07-03,2798.0,12.11291218
2016-07-04,3076.0,11.78057957
2016-07-05,4036.0,11.4712038
2016-07-06,3044.0,10.69661427
2016-07-07,2871.0,10.08300591
2016-07-08,2848.0,10.02820587
2016-07-09,4207.0,10.93483829
2016-07-10,3448.0,10.81057549
2016-07-11,2591.0,10.43312836
2016-07-12,3242.0,10.4793787
2016-07-13,3183.0,10.48039627
2016-07-14,2973.0,10.86622524
2016-07-15,3468.0,12.07416058
2016-07-16,2609.0,11.75248337
2016-07-17,1486.0,11.31585407
2016-07-18,1838.0,11.30451298
2016-07-19,2559.0,11.15695477
2016-07-20,4292.0,11.73404217
2016-07-21,3910.0,12.3439846
2016-07-22,4365.0,12.62028027
2016-07-23,4831.0,14.16064739
2016-07-24,2677.0,14.23389816
2016-07-25,4242.0,13.25709438
2016-07-26,4903.0,13.63521957
2016-07-27,6821.0,12.86848545
2016-07-28,3632.0,12.85945034
2016-07-29,4477.0,12.63159943
2016-07-30,3132.0,12.69895267
2016-07-31,2555.0,11.60665894
2016-08-01,2722.0,11.58598137
2016-08-02,3185.0,10.71458149
2016-08-03,3783.0,9.52481365
2016-08-04,3019.0,10.47972965
2016-08-05,2580.0,11.03745079
2016-08-06,2010.0,10.87705135
2016-08-07,1959.0,10.91378212
2016-08-08,2285.0,10.94816113
2016-08-09,2933.0,12.00621319
2016-08-10,2972.0,12.29963112
2016-08-11,2831.0,11.8381052
2016-08-12,2422.0,11.65481853
2016-08-13,2021.0,11.64356232
2016-08-14,1596.0,11.57867813
2016-08-15,1873.0,11.00014877
2016-08-16,1705.0,11.14498329
2016-08-17,1806.0,10.9684124
2016-08-18,1821.0,10.86975956
2016-08-19,1834.0,10.78667927
2016-08-20,1702.0,11.01842213
2016-08-21,2144.0,11.16414452
2016-08-22,1659.0,11.19819069
2016-08-23,2248.0,10.97469711
