Time,ETH number of daily active addresses,Price
2016-04-04,11736,11.15642166
2016-04-05,12662,10.88610268
2016-04-06,12276,10.42926121
2016-04-07,9566,10.21233654
2016-04-08,12483,10.27226067
2016-04-09,11786,9.96868324
2016-04-10,13294,8.50895214
2016-04-11,12476,8.8178339
2016-04-12,12669,7.67186689
2016-04-13,11102,7.12070036
2016-04-14,12692,8.27220345
2016-04-15,12306,8.30276871
2016-04-16,12111,8.35909748
2016-04-17,12536,9.57394218
2016-04-18,12785,9.06841278
2016-04-19,10149,9.13057518
2016-04-20,12835,8.53954411
2016-04-21,10357,8.49539566
2016-04-22,14207,8.16850376
2016-04-23,12863,7.85513306
2016-04-24,13002,8.24351597
2016-04-25,13122,7.78498888
2016-04-26,13866,7.45745134
2016-04-27,13511,7.85904932
2016-04-28,10503,7.28087854
2016-04-29,14859,7.45272541
2016-04-30,15035,9.31284428
2016-05-01,20958,8.75332546
2016-05-02,15499,9.1801405
2016-05-03,17317,9.96475506
2016-05-04,12548,9.64718056
2016-05-05,14716,9.60092926
2016-05-06,12260,9.75081062
2016-05-07,14986,9.30714512
2016-05-08,14524,9.26994324
2016-05-09,15463,9.41054821
2016-05-10,15917,9.40432358
2016-05-11,16115,9.46284485
2016-05-12,16083,10.33878708
2016-05-13,18202,10.39747715
2016-05-14,18886,10.29762363
2016-05-15,16827,10.0948925
2016-05-16,14654,10.16970253
2016-05-17,14252,11.30505466
2016-05-18,21114,13.38962555
2016-05-19,18798,13.85283089
2016-05-20,19702,14.72865677
2016-05-21,18660,13.66317368
2016-05-22,17185,14.05455685
2016-05-23,15203,13.64112186
2016-05-24,18411,13.50997543
2016-05-25,18778,12.23726654
2016-05-26,25158,12.3975172
2016-05-27,19951,10.94718933
2016-05-28,27407,10.60098743
2016-05-29,23555,12.05819702
2016-05-30,18359,12.33735371
2016-05-31,15576,13.99980831
2016-06-01,18902,14.06221104
2016-06-02,18567,13.71955585
2016-06-03,17467,13.43216801
2016-06-04,17707,13.61271477
2016-06-05,16665,13.64867115
2016-06-06,14572,13.85687065
