Time,ETH daily new contracts,Price
2016-07-28,589,12.85945034
2016-07-29,334,12.63159943
2016-07-30,284,12.69895267
2016-07-31,239,11.60665894
2016-08-01,266,11.58598137
2016-08-02,361,10.71458149
2016-08-03,347,9.52481365
2016-08-04,245,10.47972965
2016-08-05,316,11.03745079
2016-08-06,113,10.87705135
2016-08-07,242,10.91378212
2016-08-08,479,10.94816113
2016-08-09,419,12.00621319
2016-08-10,693,12.29963112
2016-08-11,402,11.8381052
2016-08-12,493,11.65481853
2016-08-13,376,11.64356232
2016-08-14,86,11.57867813
2016-08-15,138,11.00014877
2016-08-16,145,11.14498329
2016-08-17,131,10.9684124
2016-08-18,220,10.86975956
2016-08-19,146,10.78667927
2016-08-20,125,11.01842213
2016-08-21,328,11.16414452
2016-08-22,140,11.19819069
2016-08-23,690,10.97469711
2016-08-24,186,11.04823494
2016-08-25,140,11.24854374
2016-08-26,98,11.29399109
2016-08-27,99,11.19051075
2016-08-28,54,11.10728836
2016-08-29,93,10.91968632
2016-08-30,83,11.19962215
2016-08-31,199,11.20655727
2016-09-01,365,12.0040493
2016-09-02,239,12.05083942
2016-09-03,188,11.68476868
2016-09-04,177,11.7645483
2016-09-05,293,11.73810863
2016-09-06,226,11.61868286
2016-09-07,148,11.6288023
2016-09-08,145,11.56850052
2016-09-09,229,11.45089531
2016-09-10,453,11.72736263
2016-09-11,208,11.85478401
2016-09-12,842,11.65324211
2016-09-13,152,12.08258915
2016-09-14,253,11.94601536
2016-09-15,151,12.00962353
2016-09-16,200,11.93481731
2016-09-17,188,12.58448887
2016-09-18,196,12.67479992
2016-09-19,58,12.73502922
2016-09-20,136,13.38055134
2016-09-21,302,14.20669651
2016-09-22,138,12.84622383
2016-09-23,44,13.10164452
2016-09-24,40,12.92832279
2016-09-25,148,12.98826027
2016-09-26,132,12.88971233
2016-09-27,66,13.16527462
2016-09-28,163,13.44039631
2016-09-29,158,13.25716496
2016-09-30,476,13.33109093
2016-10-01,63,13.13239765
2016-10-02,116,13.16473293
2016-10-03,713,13.20552063
2016-10-04,20841,13.39880371
2016-10-05,2437,13.25749874
2016-10-06,1057,12.84533882
2016-10-07,219,12.92625523
2016-10-08,643,12.64265347
2016-10-09,362,12.26047421
2016-10-10,1506,11.90778828
2016-10-11,603,12.13507748
2016-10-12,7440,11.73500061
2016-10-13,13643,11.99354458
2016-10-14,13318,11.9192934
2016-10-15,3229,11.86220741
2016-10-16,3526,11.95855045
2016-10-17,3445,11.92120838
2016-10-18,3914,12.19547844
2016-10-19,493,12.49901009
2016-10-20,100,12.20103645
2016-10-21,57,12.08692837
2016-10-22,234,12.12838173
2016-10-23,73,11.96116257
2016-10-24,58,11.99033356
2016-10-25,641,11.26816273
2016-10-26,781,11.58884907
2016-10-27,225,11.43562508
2016-10-28,210,11.53957653
2016-10-29,361,11.10292244
2016-10-30,76,10.48897076
2016-10-31,242,11.17594051
2016-11-01,539,10.73330975
2016-11-02,77,10.9131155
2016-11-03,90,10.79964828
2016-11-04,67,10.93370247
2016-11-05,92,11.05909157
2016-11-06,93,10.87234211
2016-11-07,58,10.89083767
2016-11-08,152,10.89247608
2016-11-09,156,10.42971802
2016-11-10,456,10.55637455
2016-11-11,120,10.51397896
2016-11-12,121,10.181036
2016-11-13,125,10.19999409
2016-11-14,219,9.98183823
2016-11-15,269,10.24454117
2016-11-16,312,10.28198242
2016-11-17,144,10.10865688
2016-11-18,177,9.97877407
2016-11-19,120,9.57619572
2016-11-20,130,9.61849403
2016-11-21,409,9.57175732
2016-11-22,359,9.94512939
2016-11-23,87,9.87179089
2016-11-24,183,9.78180313
2016-11-25,6211,9.27416229
2016-11-26,1675,9.37100124
2016-11-27,1210,9.12840176
2016-11-28,440,8.95883465
2016-11-29,153,8.48675156
2016-11-30,113,8.27385712
2016-12-01,167,8.39436626
2016-12-02,116,7.63683796
2016-12-03,2688,7.90301895
2016-12-04,1794,7.90249872
2016-12-05,3365,7.46398783
2016-12-06,1093,6.9359355
2016-12-07,261,7.57976294
2016-12-08,134,8.57879162
2016-12-09,346,8.57343674
2016-12-10,1287,8.30651474
2016-12-11,379,8.21545887
2016-12-12,196,8.41560459
2016-12-13,214,8.44915771
2016-12-14,104,8.3716526
2016-12-15,125,7.98988962
2016-12-16,122,7.83320808
2016-12-17,131,7.78552341
2016-12-18,909,7.89772511
2016-12-19,515,7.74505043
2016-12-20,237,7.63710451
2016-12-21,206,7.67782974
2016-12-22,111,7.61255884
2016-12-23,109,7.40170383
2016-12-24,103,7.33150196
2016-12-25,70,7.31269884
2016-12-26,100,7.28469181
2016-12-27,133,7.21640587
2016-12-28,293,7.3052659
2016-12-29,350,8.08511066
2016-12-30,185,8.1172781
2016-12-31,318,7.97572088
2017-01-01,187,8.44290161
2017-01-02,96,8.29045868
2017-01-03,130,8.42391968
2017-01-04,259,10.40668869
2017-01-05,304,10.17251587
2017-01-06,288,10.12520123
2017-01-07,345,10.04981232
2017-01-08,304,10.08623219
2017-01-09,152,10.32278633
2017-01-10,231,10.40650654
2017-01-11,243,9.87361526
2017-01-12,406,9.5852623
2017-01-13,779,9.74505711
2017-01-14,759,9.6504097
2017-01-15,337,9.8756094
2017-01-16,191,9.84827423
2017-01-17,140,10.10851097
2017-01-18,170,10.13010597
2017-01-19,408,10.26816368
2017-01-20,471,10.58528042
2017-01-21,106,10.85219193
2017-01-22,95,10.72018909
2017-01-23,133,10.72600555
2017-01-24,361,10.71712017
2017-01-25,180,10.5147543
2017-01-26,501,10.57678699
2017-01-27,283,10.48508549
2017-01-28,464,10.51917839
2017-01-29,151,10.49586296
2017-01-30,458,10.50073338
2017-01-31,176,10.56471634
2017-02-01,214,10.62877083
2017-02-02,253,10.67805576
2017-02-03,221,10.87989998
2017-02-04,334,11.3878479
2017-02-05,142,11.3610239
2017-02-06,163,11.39671993
2017-02-07,289,11.46568871
2017-02-08,252,11.34819221
2017-02-09,650,11.54552555
2017-02-10,158,11.06329632
2017-02-11,153,11.27564049
2017-02-12,576,11.31136131
2017-02-13,223,11.20249748
2017-02-14,261,12.58078289
2017-02-15,275,12.81957531
2017-02-16,264,12.60032368
2017-02-17,147,12.78670406
2017-02-18,930,12.7598362
2017-02-19,318,12.80346584
2017-02-20,227,12.86492729
2017-02-21,366,12.48175907
2017-02-22,1155,12.70765495
2017-02-23,318,12.77905083
2017-02-24,249,13.0295639
2017-02-25,120,13.61951256
2017-02-26,126,13.46938324
2017-02-27,195,14.63193226
2017-02-28,171,15.80909538
2017-03-01,1069,15.73847675
2017-03-02,492,18.7517395
2017-03-03,460,18.50421143
2017-03-04,249,19.98473167
2017-03-05,539,18.85466194
2017-03-06,135,19.22690392
2017-03-07,94,19.42888832
2017-03-08,132,18.37753296
2017-03-09,165,17.54300308
2017-03-10,1042,18.28123283
2017-03-11,171,19.06263924
2017-03-12,149,21.85354805
2017-03-13,260,25.04587555
2017-03-14,648,28.24926949
2017-03-15,1590,30.52957153
2017-03-16,1467,40.88731766
2017-03-17,452,46.54584885
2017-03-18,276,36.93608093
2017-03-19,217,39.4142952
2017-03-20,279,44.19563293
2017-03-21,520,44.21334076
2017-03-22,697,39.89975739
2017-03-23,577,42.05825806
2017-03-24,846,47.57904434
2017-03-25,437,49.47833252
2017-03-26,200,49.62591171
2017-03-27,3089,50.76028824
2017-03-28,274,49.85445023
2017-03-29,574,52.64440155
2017-03-30,770,53.08503342
2017-03-31,800,50.63747025
2017-04-01,631,50.14421844
2017-04-02,555,49.48337173
2017-04-03,665,44.73745728
2017-04-04,1037,45.10642242
2017-04-05,1034,45.77088165
2017-04-06,1592,44.74009705
