Time,ETH mining difficulty,Price
2015-11-30,7.763828455202479E12,0.86545026
2015-12-01,7.849312688020076E12,0.87134773
2015-12-02,7.895363190390496E12,0.84483999
2015-12-03,7.636492211982363E12,0.8063283
2015-12-04,7.679377527254043E12,0.81392032
2015-12-05,8.102552041934224E12,0.8587696
2015-12-06,7.956015299694715E12,0.86979187
2015-12-07,7.723865084545184E12,0.79386562
2015-12-08,7.641973144901853E12,0.78596514
2015-12-09,7.3312721657135E12,0.7860868
2015-12-10,7.610879020187461E12,0.8399682
2015-12-11,7.967856099790168E12,0.83151817
2015-12-12,8.057982606625578E12,0.99525732
2015-12-13,8.27731096536036E12,0.97319835
2015-12-14,8.633950836575902E12,0.96965766
2015-12-15,8.661245848466229E12,1.01842892
2015-12-16,8.677673278536112E12,0.98498374
2015-12-17,8.625311777119876E12,0.9809624
2015-12-18,8.80718287301122E12,0.91734028
2015-12-19,8.749503942553344E12,0.90443665
2015-12-20,8.595975680507252E12,0.92230278
2015-12-21,8.510570896833901E12,0.89747751
2015-12-22,8.688250358389691E12,0.89644194
2015-12-23,8.587537977619695E12,0.85935557
2015-12-24,8.50561048560267E12,0.87774491
2015-12-25,8.61079431021921E12,0.8661043
2015-12-26,8.435693608894668E12,0.86289287
2015-12-27,8.565840470869034E12,0.8465516
2015-12-28,8.511877494728223E12,0.87239414
2015-12-29,8.615534835334725E12,0.84508348
2015-12-30,8.500447278852792E12,0.88109893
2015-12-31,8.516493326708211E12,0.95315617
2016-01-01,8.604949898040621E12,0.94212908
2016-01-02,8.245198454822695E12,0.95676959
2016-01-03,8.267747699919759E12,0.94983006
2016-01-04,8.352553534317568E12,0.94864452
2016-01-05,8.249696867852951E12,0.97059739
2016-01-06,8.347852203944087E12,0.94355929
2016-01-07,8.402148659711372E12,0.95830619
2016-01-08,8.169484568361278E12,0.96605694
2016-01-09,8.438033673578137E12,0.97822481
2016-01-10,8.377958050738666E12,0.9913255
2016-01-11,8.580930740460754E12,1.06275415
2016-01-12,8.990184804299188E12,1.14950073
2016-01-13,8.584055553067716E12,1.13267255
2016-01-14,8.58851581516973E12,1.14019752
2016-01-15,8.923183453463543E12,1.29996228
2016-01-16,9.1741506151482E12,1.25592315
2016-01-17,9.117143122309113E12,1.23351443
2016-01-18,9.257041493589127E12,1.52444291
2016-01-19,9.603934444943492E12,1.38271248
2016-01-20,9.460725503503818E12,1.59637213
2016-01-21,9.507711938154072E12,1.53912294
2016-01-22,9.75610528658045E12,1.53445899
2016-01-23,1.0099391029965871E13,1.52795529
2016-01-24,9.937557059415479E12,2.04427361
2016-01-25,1.0427440553829082E13,2.53277397
2016-01-26,1.0399144757639959E13,2.6500597
2016-01-27,1.0892988460228148E13,2.36073828
2016-01-28,1.0495584047231479E13,2.41116261
2016-01-29,1.072105911966556E13,2.57491207
2016-01-30,1.0917877719953125E13,2.56336069
2016-01-31,1.0781076896498607E13,2.47952342
2016-02-01,1.0795300597631055E13,2.21671295
2016-02-02,1.0873079101956213E13,2.16603947
2016-02-03,1.061976541656787E13,2.50334001
2016-02-04,1.1068687666023959E13,2.52249646
2016-02-05,1.12240528446418E13,2.55200076
2016-02-06,1.097985173401371E13,2.53738356
2016-02-07,1.0890296334060291E13,2.76247025
2016-02-08,1.1459743657665578E13,3.02670121
2016-02-09,1.1295848523128078E13,3.6983912
2016-02-10,1.1514811625937385E13,4.14425755
2016-02-11,1.1892347410963084E13,4.64397573
2016-02-12,1.1686745007124543E13,6.36936092
2016-02-13,1.1872786971949512E13,4.41588974
2016-02-14,1.2409809600218146E13,4.95998287
2016-02-15,1.272891211207004E13,5.71886015
2016-02-16,1.2774035580707611E13,5.26333189
2016-02-17,1.2793948265298117E13,3.9274509
2016-02-18,1.2328246187152553E13,3.6640377
2016-02-19,1.2405545534197207E13,4.38084459
2016-02-20,1.2815694647581113E13,4.59809685
2016-02-21,1.2849746887805072E13,4.28471136
2016-02-22,1.3305994772838521E13,4.90154696
2016-02-23,1.3729815068830412E13,5.82967377
2016-02-24,1.3649156473694285E13,6.15653133
2016-02-25,1.3580338355483299E13,6.50093651
2016-02-26,1.3755650533349951E13,5.8241024
2016-02-27,1.4538908995502637E13,6.3977809
2016-02-28,1.463533370577231E13,6.52915525
2016-02-29,1.4946574186339414E13,6.60254622
2016-03-01,1.4481932021375574E13,6.53641224
2016-03-02,1.482814593623147E13,8.38777447
2016-03-03,1.541271471669268E13,8.52542782
2016-03-04,1.6066426696078312E13,9.44318676
2016-03-05,1.6155373245966918E13,11.92475796
2016-03-06,1.7193484279910943E13,11.24402618
2016-03-07,1.7121527739880715E13,9.89782238
2016-03-08,1.748456382477234E13,9.91042233
2016-03-09,1.7756571146848445E13,10.04279709
2016-03-10,1.7929975359132355E13,11.25952244
2016-03-11,1.846921640895101E13,11.04093933
2016-03-12,1.9301908309822266E13,13.33665657
2016-03-13,1.9826615580424535E13,14.54772949
2016-03-14,2.040984429119092E13,12.99977493
2016-03-15,1.8233923313196355E13,12.53937244
2016-03-16,1.7675480268695824E13,13.24864769
2016-03-17,1.782622538944132E13,11.13146973
2016-03-18,1.8229638782590184E13,11.01172447
2016-03-19,1.8629944410582535E13,11.00950146
