Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,dropout,epoch,features,lags,layers,learning_rate,n_periods,prediction_start_date,units,accuracy_daily,avg_accuracy,avg_mae,avg_mape,avg_mse,avg_precision,avg_rmse,avg_rmspe,mae_daily,mape_daily,mse_daily,precision_daily,rmse_daily,rmspe_daily,model_selected
11/08/2025 20:06,19.6s,a7a0f3f5210f480297f935137b730205,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.05,21,['ETH_D_AvgPrc'],7,3,0.01,7,04/03/2023,64,0.481203008,0.480128894,59.09495235,0.032485174,6653.172457,0.484413363,78.47476579,4.342475954,79.51971734,0.043505513,11359.13404,0.484848485,106.5792383,5.859507068,0
11/08/2025 19:59,44.8s,d2f0b75781f847cca8d9a754bb2bff9e,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0,108,['ETH_D_AvgPrc'],7,3,0.001,7,04/03/2023,64,0.421052632,0.471535983,59.55648532,0.032800291,6847.136066,0.476454391,78.49692597,4.357368883,81.39040358,0.044658832,12178.24136,0.424242424,110.3550695,6.092628715,0
12/08/2025 01:14,29.2s,0506bfcd110944ae85e3fb76a7377e20,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.1,55,['ETH_D_AvgPrc'],28,3,0.001,7,04/03/2023,64,0.421052632,0.469387755,59.42994718,0.032657209,6610.400412,0.474867092,78.50069037,4.33937108,77.54116041,0.042597019,10836.82054,0.426470588,104.1000506,5.762904737,0
11/08/2025 23:39,13.4s,ad769bc90d854fd785cb4c865257e404,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.05,31,['ETH_D_AvgPrc'],21,2,0.01,7,04/03/2023,128,0.45112782,0.480128894,59.23468667,0.032526664,6649.701238,0.484781842,78.51121252,4.334802213,78.49479572,0.04305415,10934.22414,0.455882353,104.5668405,5.774328579,0
12/08/2025 00:23,10.9s,e6f9578524e0497dac5ff2d7fb04aa65,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.1,16,['ETH_D_AvgPrc'],28,1,0.01,7,04/03/2023,64,0.406015038,0.468313641,59.77852872,0.032839769,6605.613654,0.472255869,78.53643433,4.343468607,77.97244859,0.042748814,10831.63314,0.409090909,104.0751322,5.743227616,0
12/08/2025 01:01,44.7s,1fac9b78964c4f3db46d8618f55612bb,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.05,53,['ETH_D_AvgPrc'],28,3,0.001,7,04/03/2023,64,0.436090226,0.472610097,59.55772706,0.032587543,6658.071953,0.478384631,78.55602099,4.314342608,78.90125636,0.043197861,11046.31405,0.442857143,105.1014465,5.784801419,0
11/08/2025 20:10,32.2s,e8611087df2f47a08856c691ac8620d0,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.05,101,['ETH_D_AvgPrc'],7,3,0.01,7,04/03/2023,128,0.458646617,0.470461869,59.27009827,0.032659509,6721.767934,0.475546811,78.55683848,4.361431258,78.76747464,0.043238035,11228.95525,0.461538462,105.9667648,5.858656679,0
11/08/2025 21:21,16.0s,88199b05094548b1a543f517c5734a4c,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.1,21,['ETH_D_AvgPrc'],14,3,0.01,7,04/03/2023,32,0.428571429,0.472610097,59.73242863,0.033018051,6525.13513,0.476317382,78.55965495,4.404836285,73.68015123,0.040534466,9958.974507,0.430769231,99.79466171,5.568176994,0
11/08/2025 23:44,34.1s,42d2c1d75e9942ce8228732a788dc62b,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.1,161,['ETH_D_AvgPrc'],21,2,0.001,7,04/03/2023,64,0.443609023,0.481203008,58.92178741,0.032324449,6684.987286,0.486729215,78.57159638,4.337442594,78.97997749,0.043329642,11479.27343,0.449275362,107.1413713,5.919309986,0
11/08/2025 23:42,35.9s,d5416b616d19402e8b745fd883ad1bab,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.1,56,['ETH_D_AvgPrc'],21,2,0.001,7,04/03/2023,64,0.443609023,0.481203008,59.03804077,0.032415379,6686.094827,0.486109413,78.5926187,4.34144183,78.88660196,0.043193685,11255.4843,0.446153846,106.0918672,5.839640525,0
12/08/2025 00:41,12.8s,f3fe5c7a89cb4115bbf3af4c02719324,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.1,10,['ETH_D_AvgPrc'],28,2,0.01,7,04/03/2023,32,0.458646617,0.475832438,59.65037424,0.03287077,6594.125406,0.480375113,78.59744901,4.366065367,76.44453855,0.041887041,10384.69245,0.462686567,101.9053112,5.624314157,0
11/08/2025 23:38,23.3s,d22665e4b45b4e3ab7946237a873254e,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.05,25,['ETH_D_AvgPrc'],21,2,0.001,7,04/03/2023,128,0.443609023,0.47905478,59.36752316,0.032646746,6677.742144,0.483418074,78.60677262,4.352865722,79.17956199,0.043319526,11222.83367,0.446153846,105.9378765,5.824902415,0
12/08/2025 00:18,10.9s,268f3937af134c92951da81f369a3dd4,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.05,16,['ETH_D_AvgPrc'],28,1,0.01,7,04/03/2023,64,0.428571429,0.47905478,59.64520355,0.032814802,6646.794642,0.484234155,78.65217697,4.359911225,78.97346279,0.043396822,11071.4443,0.432835821,105.2209309,5.827895554,0
11/08/2025 23:17,6.1s,3c6e34bc6a1445239d1208668c841283,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0,14,['ETH_D_AvgPrc'],21,1,0.01,7,04/03/2023,64,0.406015038,0.476906552,59.85021258,0.032882059,6683.44925,0.481357946,78.66292119,4.350381312,80.49469981,0.044196356,11465.54964,0.409090909,107.0773069,5.922913842,0
11/08/2025 21:13,20.6s,59327794c18d432daa875436764059ed,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.05,43,['ETH_D_AvgPrc'],14,3,0.01,7,04/03/2023,64,0.458646617,0.47905478,59.55209393,0.032804816,6638.803301,0.482519788,78.66594367,4.370348376,78.53376827,0.042937986,11029.73034,0.461538462,105.022523,5.768981633,0
12/08/2025 01:02,28.4s,6018133102074bf4b2a83083b96a6851,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.05,52,['ETH_D_AvgPrc'],28,3,0.01,7,04/03/2023,64,0.428571429,0.483351235,60.37991723,0.033109376,6755.794226,0.489554343,78.67512018,4.332059861,80.01866506,0.043750822,11147.1958,0.436619718,105.5802813,5.796786297,0
