Time,ETH average daily transaction fee,Price
2015-12-02,0.0018153755696016464,0.84483999
2015-12-03,0.001550175118014314,0.8063283
2015-12-04,0.001593590677348871,0.81392032
2015-12-05,0.0018920487521764363,0.8587696
2015-12-06,0.0019411701092246134,0.86979187
2015-12-07,0.0015397178916109872,0.79386562
2015-12-08,0.0014036322680557511,0.78596514
2015-12-09,0.0014142732811140122,0.7860868
2015-12-10,0.0014020531570805796,0.8399682
2015-12-11,0.0016662400819042744,0.83151817
2015-12-12,0.002892758707090955,0.99525732
2015-12-13,0.0021728914172644076,0.97319835
2015-12-14,0.003934816517527297,0.96965766
2015-12-15,0.005819042743793192,1.01842892
2015-12-16,0.004958668515950069,0.98498374
2015-12-17,0.003732813261823501,0.9809624
2015-12-18,0.003373856792326567,0.91734028
2015-12-19,0.0031470363497434774,0.90443665
