Time,ETH number of daily transactions on the chain,Price
2016-12-19,42230,7.74505043
2016-12-20,45412,7.63710451
2016-12-21,46862,7.67782974
2016-12-22,56685,7.61255884
2016-12-23,47055,7.40170383
2016-12-24,41744,7.33150196
2016-12-25,33172,7.31269884
2016-12-26,35291,7.28469181
2016-12-27,42420,7.21640587
2016-12-28,43303,7.3052659
2016-12-29,42164,8.08511066
2016-12-30,48594,8.1172781
2016-12-31,43679,7.97572088
2017-01-01,37797,8.44290161
2017-01-02,39029,8.29045868
2017-01-03,38607,8.42391968
2017-01-04,52703,10.40668869
2017-01-05,49718,10.17251587
2017-01-06,46502,10.12520123
2017-01-07,44797,10.04981232
2017-01-08,42788,10.08623219
2017-01-09,42872,10.32278633
2017-01-10,48327,10.40650654
2017-01-11,46990,9.87361526
2017-01-12,47004,9.5852623
2017-01-13,55239,9.74505711
2017-01-14,43252,9.6504097
2017-01-15,41551,9.8756094
2017-01-16,42191,9.84827423
2017-01-17,46431,10.10851097
2017-01-18,47563,10.13010597
2017-01-19,44458,10.26816368
2017-01-20,45142,10.58528042
2017-01-21,43562,10.85219193
2017-01-22,45623,10.72018909
2017-01-23,46158,10.72600555
2017-01-24,50761,10.71712017
2017-01-25,47326,10.5147543
2017-01-26,46414,10.57678699
2017-01-27,45335,10.48508549
2017-01-28,48450,10.51917839
2017-01-29,41745,10.49586296
2017-01-30,44340,10.50073338
2017-01-31,44553,10.56471634
2017-02-01,43479,10.62877083
2017-02-02,44429,10.67805576
2017-02-03,41767,10.87989998
2017-02-04,45330,11.3878479
2017-02-05,48168,11.3610239
2017-02-06,44952,11.39671993
2017-02-07,50717,11.46568871
2017-02-08,53014,11.34819221
2017-02-09,46632,11.54552555
2017-02-10,51133,11.06329632
2017-02-11,49889,11.27564049
2017-02-12,43853,11.31136131
2017-02-13,54506,11.20249748
2017-02-14,53457,12.58078289
2017-02-15,58730,12.81957531
2017-02-16,51457,12.60032368
2017-02-17,48600,12.78670406
2017-02-18,51213,12.7598362
2017-02-19,48174,12.80346584
2017-02-20,49067,12.86492729
2017-02-21,59196,12.48175907
2017-02-22,48731,12.70765495
2017-02-23,51140,12.77905083
2017-02-24,49649,13.0295639
2017-02-25,53720,13.61951256
2017-02-26,51523,13.46938324
2017-02-27,52708,14.63193226
2017-02-28,58617,15.80909538
2017-03-01,60351,15.73847675
2017-03-02,66610,18.7517395
2017-03-03,67456,18.50421143
2017-03-04,60493,19.98473167
2017-03-05,56398,18.85466194
2017-03-06,57134,19.22690392
2017-03-07,62341,19.42888832
2017-03-08,55771,18.37753296
2017-03-09,63143,17.54300308
2017-03-10,61959,18.28123283
2017-03-11,64925,19.06263924
2017-03-12,67478,21.85354805
2017-03-13,76857,25.04587555
2017-03-14,78787,28.24926949
2017-03-15,74916,30.52957153
2017-03-16,105972,40.88731766
2017-03-17,110007,46.54584885
2017-03-18,89878,36.93608093
2017-03-19,86909,39.4142952
2017-03-20,80654,44.19563293
2017-03-21,85177,44.21334076
2017-03-22,80151,39.89975739
2017-03-23,80259,42.05825806
2017-03-24,84161,47.57904434
2017-03-25,89412,49.47833252
2017-03-26,80689,49.62591171
2017-03-27,90953,50.76028824
2017-03-28,86855,49.85445023
2017-03-29,85021,52.64440155
2017-03-30,90652,53.08503342
2017-03-31,113034,50.63747025
2017-04-01,85222,50.14421844
2017-04-02,81498,49.48337173
2017-04-03,103283,44.73745728
2017-04-04,89274,45.10642242
2017-04-05,85381,45.77088165
2017-04-06,89287,44.74009705
2017-04-07,100027,42.53973389
2017-04-08,76426,45.16585922
2017-04-09,74866,43.21027756
2017-04-10,74628,43.20684814
2017-04-11,74665,44.11178589
2017-04-12,78033,43.5552063
2017-04-13,87080,48.4173317
2017-04-14,80794,48.83977509
2017-04-15,78502,47.44621277
