Time,ETH Gas price,Price
2017-06-15,2.262126823106897E-8,355.40454102
2017-06-16,2.2710694572404615E-8,350.64282227
2017-06-17,2.0793024932006545E-8,366.66964722
2017-06-18,2.1343484380002406E-8,376.94723511
2017-06-19,1.967406695262286E-8,372.66906738
2017-06-20,2.741421830858025E-8,377.61639404
2017-06-21,6.200472144882432E-8,337.51074219
2017-06-22,4.724300961866531E-8,338.32897949
2017-06-23,3.573514975124852E-8,341.11270142
2017-06-24,4.9244646429852996E-8,342.61224365
2017-06-25,3.083246949705847E-8,320.02047729
2017-06-26,6.116335173258731E-8,309.31256104
2017-06-27,3.8261161042633844E-8,271.87319946
2017-06-28,4.794907229729857E-8,305.0274353
2017-06-29,3.5254330302494985E-8,326.67578125
2017-06-30,2.709765883544196E-8,305.8001709
2017-07-01,2.4919969955883633E-8,282.76315308
2017-07-02,2.4911825670828335E-8,272.48422241
2017-07-03,2.637999941576204E-8,288.73574829
2017-07-04,2.339573038893507E-8,284.26412964
2017-07-05,2.5632498507656876E-8,273.55728149
2017-07-06,2.6972390133012052E-8,270.89187622
2017-07-07,2.4773828624720305E-8,267.5269165
2017-07-08,2.495274008016732E-8,244.48466492
2017-07-09,2.9361772178236705E-8,244.90852356
2017-07-10,1.9780903268262315E-8,220.69154358
2017-07-11,2.051876496644403E-8,197.28175354
2017-07-12,1.9372558851368676E-8,195.09162903
2017-07-13,2.4443222485767367E-8,229.23893738
2017-07-14,2.1058860000087815E-8,192.40531921
2017-07-15,2.5867016820637668E-8,177.26097107
2017-07-16,2.4435915850533457E-8,152.5894928
2017-07-17,2.4104435962395084E-8,165.92953491
2017-07-18,2.4698387938489766E-8,185.05493164
2017-07-19,3.003245101807746E-8,227.34802246
2017-07-20,2.46884134375755E-8,215.48780823
2017-07-21,2.3946618520893006E-8,226.48606873
2017-07-22,2.8682111849994675E-8,222.48902893
2017-07-23,2.5598162688469145E-8,229.30355835
2017-07-24,2.3239324266673975E-8,225.04364014
2017-07-25,2.3048471110987902E-8,207.49874878
2017-07-26,3.0856118179301734E-8,202.01931763
2017-07-27,2.643468215254945E-8,204.34919739
2017-07-28,2.5115858549221085E-8,203.32189941
2017-07-29,2.1147824413926633E-8,184.85980225
2017-07-30,1.8477514774723123E-8,200.7035675
2017-07-31,1.8147123762564853E-8,198.70417786
2017-08-01,2.017831411988943E-8,212.01089478
2017-08-02,2.1148865255267136E-8,226.93367004
2017-08-03,1.9173288845460505E-8,226.17558289
2017-08-04,1.7410096638578046E-8,223.84744263
2017-08-05,1.796150200225688E-8,241.99623108
2017-08-06,1.924245105911609E-8,258.18136597
