Time,ETH market cap,Price
2018-04-30,6.775678393367231E10,683.4161377
2018-05-01,6.3896208371685165E10,644.34356689
2018-05-02,6.76935032075527E10,682.49395752
2018-05-03,7.407133728022693E10,746.64105225
2018-05-04,7.657742855663322E10,771.74206543
2018-05-05,8.135049011803156E10,819.67333984
2018-05-06,8.19116450983647E10,825.15466309
2018-05-07,7.513308950200822E10,756.71264648
2018-05-08,7.321126326913301E10,737.20391846
2018-05-09,7.196887896379005E10,724.54400635
2018-05-10,7.570752525928862E10,762.02600098
2018-05-11,7.271086581413567E10,731.71264648
2018-05-12,6.752614843608384E10,679.3951416
2018-05-13,7.22887748095699E10,727.16363525
2018-05-14,6.987203570495418E10,702.7086792
2018-05-15,7.145999216066452E10,718.53155518
2018-05-16,6.821331134386109E10,685.74499512
2018-05-17,7.042309650406064E10,707.81286621
2018-05-18,6.76184569279652E10,679.48406982
2018-05-19,6.924304721961179E10,695.66363525
2018-05-20,7.103362633345389E10,713.50311279
2018-05-21,7.107843032148132E10,713.80505371
2018-05-22,6.8057802145289154E10,683.32940674
2018-05-23,6.013842562792602E10,603.68988037
2018-05-24,5.971171060201563E10,599.28314209
2018-05-25,6.007120300554333E10,602.76623535
2018-05-26,6.0284114733282845E10,604.77606201
2018-05-27,5.722263399626317E10,573.9463501
2018-05-28,5.318612568668703E10,533.34875488
2018-05-29,5.259373097004574E10,527.29974365
2018-05-30,5.514656069019376E10,552.78033447
2018-05-31,5.75960812401229E10,577.21264648
2018-06-01,5.733607471561576E10,574.48913574
2018-06-02,5.7752714419981384E10,578.54296875
2018-06-03,5.932552868029828E10,594.17651367
2018-06-04,6.185144912928616E10,619.347229
2018-06-05,5.9410308467081566E10,594.77947998
2018-06-06,6.109048746400345E10,611.47528076
2018-06-07,6.0725792691325264E10,607.6987915
2018-06-08,6.052150938519237E10,605.52856445
2018-06-09,6.068615854290602E10,607.050354
2018-06-10,5.6993564470773865E10,569.99615479
2018-06-11,5.3465578533664696E10,534.60144043
2018-06-12,5.293879059300838E10,529.2253418
