Time,ETH daily transaction fee,Price
2016-11-24,71.92,9.78180313
2016-11-25,64.6,9.27416229
2016-11-26,53.42,9.37100124
2016-11-27,106.61,9.12840176
2016-11-28,117.28,8.95883465
2016-11-29,117.66,8.48675156
2016-11-30,53.32,8.27385712
2016-12-01,27.59,8.39436626
2016-12-02,26.01,7.63683796
2016-12-03,28.17,7.90301895
2016-12-04,27.14,7.90249872
2016-12-05,28.59,7.46398783
2016-12-06,33.91,6.9359355
2016-12-07,35.79,7.57976294
2016-12-08,791.86,8.57879162
2016-12-09,33.59,8.57343674
2016-12-10,27.6,8.30651474
2016-12-11,38.06,8.21545887
2016-12-12,28.63,8.41560459
2016-12-13,32.17,8.44915771
2016-12-14,32.85,8.3716526
2016-12-15,35.64,7.98988962
2016-12-16,33.26,7.83320808
2016-12-17,26.92,7.78552341
2016-12-18,32.84,7.89772511
2016-12-19,34.14,7.74505043
2016-12-20,41.84,7.63710451
2016-12-21,51.14,7.67782974
2016-12-22,47.5,7.61255884
2016-12-23,29.34,7.40170383
2016-12-24,28.27,7.33150196
2016-12-25,22.41,7.31269884
2016-12-26,22.78,7.28469181
2016-12-27,31.82,7.21640587
2016-12-28,35.98,7.3052659
2016-12-29,37.47,8.08511066
2016-12-30,45.02,8.1172781
2016-12-31,32.11,7.97572088
2017-01-01,26.0,8.44290161
2017-01-02,27.08,8.29045868
2017-01-03,29.1,8.42391968
2017-01-04,45.02,10.40668869
2017-01-05,38.1,10.17251587
2017-01-06,32.12,10.12520123
2017-01-07,31.37,10.04981232
2017-01-08,32.38,10.08623219
2017-01-09,32.15,10.32278633
2017-01-10,37.92,10.40650654
2017-01-11,36.79,9.87361526
2017-01-12,35.87,9.5852623
2017-01-13,40.12,9.74505711
2017-01-14,29.33,9.6504097
2017-01-15,29.11,9.8756094
2017-01-16,30.51,9.84827423
2017-01-17,35.55,10.10851097
2017-01-18,37.6,10.13010597
2017-01-19,34.13,10.26816368
2017-01-20,31.46,10.58528042
2017-01-21,32.51,10.85219193
2017-01-22,33.06,10.72018909
2017-01-23,35.36,10.72600555
2017-01-24,40.56,10.71712017
2017-01-25,38.65,10.5147543
2017-01-26,38.19,10.57678699
2017-01-27,33.52,10.48508549
2017-01-28,35.51,10.51917839
2017-01-29,30.77,10.49586296
2017-01-30,31.99,10.50073338
2017-01-31,32.9,10.56471634
2017-02-01,33.97,10.62877083
2017-02-02,37.95,10.67805576
2017-02-03,34.04,10.87989998
2017-02-04,33.46,11.3878479
2017-02-05,34.77,11.3610239
2017-02-06,35.15,11.39671993
2017-02-07,40.14,11.46568871
2017-02-08,46.36,11.34819221
2017-02-09,40.28,11.54552555
2017-02-10,46.49,11.06329632
2017-02-11,41.7,11.27564049
2017-02-12,33.61,11.31136131
2017-02-13,52.67,11.20249748
2017-02-14,59.05,12.58078289
2017-02-15,91.06,12.81957531
2017-02-16,42.97,12.60032368
2017-02-17,36.54,12.78670406
2017-02-18,46.87,12.7598362
2017-02-19,37.96,12.80346584
2017-02-20,37.96,12.86492729
2017-02-21,51.44,12.48175907
2017-02-22,54.74,12.70765495
2017-02-23,47.56,12.77905083
2017-02-24,37.57,13.0295639
2017-02-25,43.98,13.61951256
2017-02-26,39.78,13.46938324
2017-02-27,45.61,14.63193226
2017-02-28,48.31,15.80909538
2017-03-01,55.0,15.73847675
2017-03-02,53.27,18.7517395
2017-03-03,50.15,18.50421143
2017-03-04,43.47,19.98473167
2017-03-05,42.51,18.85466194
2017-03-06,42.28,19.22690392
2017-03-07,44.54,19.42888832
2017-03-08,39.2,18.37753296
2017-03-09,46.94,17.54300308
2017-03-10,49.65,18.28123283
2017-03-11,53.25,19.06263924
2017-03-12,49.39,21.85354805
2017-03-13,57.77,25.04587555
2017-03-14,82.96,28.24926949
2017-03-15,65.98,30.52957153
2017-03-16,85.82,40.88731766
2017-03-17,83.53,46.54584885
2017-03-18,69.13,36.93608093
2017-03-19,58.81,39.4142952
2017-03-20,55.29,44.19563293
2017-03-21,66.29,44.21334076
2017-03-22,59.61,39.89975739
2017-03-23,59.54,42.05825806
2017-03-24,62.17,47.57904434
2017-03-25,71.39,49.47833252
2017-03-26,57.11,49.62591171
2017-03-27,75.26,50.76028824
2017-03-28,64.03,49.85445023
2017-03-29,62.27,52.64440155
2017-03-30,72.19,53.08503342
2017-03-31,82.96,50.63747025
2017-04-01,61.0,50.14421844
2017-04-02,60.18,49.48337173
2017-04-03,76.24,44.73745728
2017-04-04,66.25,45.10642242
2017-04-05,65.32,45.77088165
2017-04-06,72.2,44.74009705
2017-04-07,75.94,42.53973389
2017-04-08,57.03,45.16585922
2017-04-09,55.83,43.21027756
2017-04-10,61.94,43.20684814
2017-04-11,56.45,44.11178589
2017-04-12,62.32,43.5552063
2017-04-13,84.37,48.4173317
2017-04-14,61.94,48.83977509
2017-04-15,58.31,47.44621277
2017-04-16,55.17,48.78649902
2017-04-17,58.92,48.3175087
2017-04-18,67.23,50.59074783
2017-04-19,79.74,50.81941223
2017-04-20,71.89,48.48793793
2017-04-21,78.74,49.44398117
2017-04-22,93.89,48.68815231
2017-04-23,61.47,48.38895798
2017-04-24,68.81,50.10398102
2017-04-25,70.77,49.86474609
2017-04-26,86.14,52.44770432
2017-04-27,85.34,58.58997726
2017-04-28,74.5,64.29021454
2017-04-29,75.79,69.83218384
2017-04-30,74.84,71.76806641
2017-05-01,86.4,81.4564209
2017-05-02,115.89,79.35325623
2017-05-03,95.97,80.05103302
2017-05-04,86.94,89.99662781
2017-05-05,90.67,102.02135468
2017-05-06,79.38,95.64967346
2017-05-07,107.7,96.7640152
2017-05-08,90.17,92.77739716
2017-05-09,96.66,89.14603424
