Date,Open,High,Low,Close,Adj Close,Volume,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockCountRewards,BlockDifficulty,BlockReward,BlockSize,BlockTime,DailyActiveEthAddress,deployed contracts,Ethersupply2,GasLimit,GasUsed,NetworkHash,TransactionFee,TxGrowth,Uncles,verified contracts
2021-07-24,2123.961181640625,2197.6494140625,2107.323486328125,2189.21875,2189.21875,16057446601,164113265,3.95,24896279188,6457,6900.762,13442.5625,60023,13.17,527529,29618,117018601.10646516,14986657,93610281834,539441.5048,2216465955518442258193,1225509,297,154
2021-07-25,2187.1455078125,2194.438232421875,2108.829833984375,2191.373779296875,2191.373779296875,14566483636,164210225,3.87,23442307403,6401,7057.021,13315.875,60410,13.34,475010,22908,117033023.61817722,14986833,92688221487,546510.698,1990415681964470395619,1128848,290,119
2021-07-26,2191.309814453125,2428.817138671875,2177.32958984375,2233.36669921875,2233.36669921875,29614324233,164305577,6.86,42016473026,6338,7149.643,13210.375,62070,13.42,526567,10452,117047353.93822652,14986067,92097012331,549463.3409,3878504004584634869248,1260619,302,190
2021-07-27,2230.197021484375,2316.9501953125,2154.731201171875,2298.33349609375,2298.33349609375,23067480378,164415079,8.47,40656771727,6277,7154.336,13106.9375,61884,13.56,625854,20421,117061571.56325068,14988194,91327729390,545518.1575,4849166892414356543282,1318124,311,249
2021-07-28,2302.081298828125,2341.77783203125,2250.9140625,2296.54541015625,2296.54541015625,18991302378,164521103,9.14,46698873266,6291,7244.052,13119.75,62465,13.56,601404,12284,117075816.06956258,14987221,91779667640,552945.8608,5164437201054238349428,1300283,304,208
2021-07-29,2299.011962890625,2396.451904296875,2273.40478515625,2380.956787109375,2380.956787109375,16313373113,164625364,5.7,34329937499,6356,7231.372,13199.4375,59287,13.41,537869,17135,117090134.07232252,14984728,92357667318,554991.031,3009817989489144302451,1259128,275,265
2021-07-30,2382.545166015625,2469.704833984375,2322.337158203125,2466.96142578125,2466.96142578125,20212848934,164733612,7.03,39490647512,6267,7029.319,13097.0,59157,13.56,532739,16648,117104347.9466359,14986063,91069565410,535578.782,3534632930088339187766,1242337,316,214
2021-07-31,2461.57568359375,2551.1611328125,2423.816162109375,2536.2099609375,2536.2099609375,18001710283,164843886,10.13,44287844806,6298,7260.823,13137.0625,60109,13.5,525908,23751,117118599.90990981,14985897,91569357287,554898.312,4850805466961849373364,1212322,305,129
2021-08-01,2530.462890625,2695.429443359375,2520.931884765625,2561.85205078125,2561.85205078125,22697987055,164942136,7.93,39568132114,6314,7351.963,13119.8125,64846,13.44,512389,20322,117132823.25827125,14987418,91851350568,560842.4677,3692386835370869489496,1190618,277,125
2021-08-02,2557.774658203125,2665.73095703125,2511.375244140625,2610.1533203125,2610.1533203125,22162754104,165049164,8.43,44396980231,6396,7405.001,13300.4375,65174,13.32,556046,20752,117147238.48662424,14986626,93129168539,572773.3879,4105103747716162894435,1269470,287,220
2021-08-03,2609.4130859375,2630.314208984375,2449.353515625,2502.349609375,2502.349609375,22696753413,165151211,10.12,48965615995,6346,7593.651,13199.0625,65621,13.42,504470,14947,117161559.10003904,14985839,92197742380,583146.7292,4922655646646496870197,1219663,289,228
2021-08-04,2508.544921875,2764.443603515625,2463.469482421875,2724.619873046875,2724.619873046875,25038698173,165252352,9.33,45772397433,6322,7679.227,13188.1875,70128,13.49,505336,14463,117175868.284188,14987299,92142983717,589185.1148,4188447673336405723582,1223841,307,258
2021-08-05,2725.669677734375,2840.4306640625,2540.68408203125,2827.328857421875,2827.328857421875,31057928075,165336794,15.26,64498157332,6349,7617.78,13232.9375,71397,13.48,463846,9323,117187172.65731259,21378664,93765092386,586145.8508,3200190500846204783707,1159663,299,153
2021-08-06,2827.50341796875,2944.9033203125,2727.792724609375,2890.941650390625,2890.941650390625,26528577879,165432680,12.68,54095411950,6451,7462.419,13432.4375,73362,13.25,495244,9064,117197622.10493115,29990787,99833807530,583001.5046,1205131811839740742013,1212021,299,190
2021-08-07,2891.70751953125,3170.229736328125,2868.53564453125,3157.23876953125,3157.23876953125,33081467129,165528933,14.21,53823017552,6549,7511.468,13583.875,69408,13.04,482441,8863,117208115.84512652,30020153,101523049266,593179.9125,1167875796158935343158,1198433,274,143
2021-08-08,3161.232666015625,3184.60400390625,2951.747314453125,3013.732666015625,3013.732666015625,28433638008,165619745,13.93,50740583150,6496,7521.787,13512.375,72062,13.11,495283,9887,117218565.14330912,30017756,100515275100,591121.9159,1283266259039518614212,1184278,294,165
2021-08-09,3012.8857421875,3185.701171875,2900.926025390625,3167.856201171875,3167.856201171875,31983260936,165715105,16.74,62245603314,6505,7708.096,13549.4375,74105,13.13,479037,10533,117228990.84019668,30014530,100658630450,607369.4509,2198763402717183544463,1218594,303,207
2021-08-10,3163.050048828125,3228.940673828125,3059.22900390625,3141.691162109375,3141.691162109375,27605221710,165814988,19.81,65215176708,6507,7863.045,13548.5,77707,13.11,484233,10786,117238352.91254728,30012312,100743448657,619487.7875,2331846177509347432430,1212289,300,223
2021-08-11,3142.830322265625,3269.20947265625,3122.91650390625,3164.2451171875,3164.2451171875,26729035052,165919410,17.4,67302786720,6401,7713.949,13313.5625,74203,13.32,489064,9589,117247570.16383524,30011490,99032450052,597295.3268,1550684289441370844316,1234409,289,280
2021-08-12,3164.17578125,3236.314697265625,2984.1669921875,3043.414306640625,3043.414306640625,25403699845,166019684,16.63,58916336779,6510,7751.316,13566.9375,72470,13.11,482429,9579,117257310.7937612,30013557,100618285838,611582.3824,1569559099810791101161,1195283,307,270
2021-08-13,3049.001220703125,3324.671630859375,3037.676025390625,3322.211669921875,3322.211669921875,23868866254,166117251,19.08,62916929886,6474,7753.899,13492.75,78084,13.23,481982,9684,117267187.54629128,30015968,100137267017,608645.19,2119971011105046756703,1197050,308,220
2021-08-14,3322.7626953125,3329.281005859375,3214.519775390625,3265.443359375,3265.443359375,19860862133,166212354,17.1,53617974436,6500,7733.36,13535.1875,78112,13.17,465045,9135,117277639.45841444,30008333,100522547923,608912.5631,1852035566059878642086,1159942,303,128
