Time,BTC total supply,Price
2009-11-14,1353550.0,null
2009-11-15,1358500.0,null
2009-11-16,1363300.0,null
2009-11-17,1368000.0,null
2009-11-18,1372050.0,null
2009-11-19,1375650.0,null
2009-11-20,1379650.0,null
2009-11-21,1383550.0,null
2009-11-22,1388600.0,null
2009-11-23,1393300.0,null
2009-11-24,1398400.0,null
2009-11-25,1402750.0,null
2009-11-26,1406700.0,null
2009-11-27,1410400.0,null
2009-11-28,1414350.0,null
2009-11-29,1417150.0,null
2009-11-30,1420900.0,null
2009-12-01,1424200.0,null
2009-12-02,1429050.0,null
2009-12-03,1432950.0,null
2009-12-04,1435900.0,null
2009-12-05,1438550.0,null
2009-12-06,1443450.0,null
2009-12-07,1448200.0,null
2009-12-08,1454100.0,null
2009-12-09,1458800.0,null
2009-12-10,1463850.0,null
2009-12-11,1470350.0,null
2009-12-12,1475250.0,null
2009-12-13,1480400.0,null
2009-12-14,1485650.0,null
2009-12-15,1491550.0,null
2009-12-16,1497300.0,null
2009-12-17,1505350.0,null
2009-12-18,1515000.0,null
2009-12-19,1526150.0,null
2009-12-20,1535250.0,null
2009-12-21,1544600.0,null
2009-12-22,1552250.0,null
2009-12-23,1560900.0,null
2009-12-24,1568000.0,null
2009-12-25,1576150.0,null
2009-12-26,1583550.0,null
2009-12-27,1591950.0,null
2009-12-28,1599150.0,null
2009-12-29,1607750.0,null
2009-12-30,1615450.0,null
2009-12-31,1622450.0,null
2010-01-01,1628800.0,null
2010-01-02,1635100.0,null
2010-01-03,1642900.0,null
2010-01-04,1652850.0,null
2010-01-05,1663050.0,null
2010-01-06,1671100.0,null
2010-01-07,1678700.0,null
2010-01-08,1686600.0,null
2010-01-09,1694050.0,null
2010-01-10,1702800.0,null
2010-01-11,1711000.0,null
2010-01-12,1719500.0,null
2010-01-13,1727200.0,null
2010-01-14,1734650.0,null
2010-01-15,1742100.0,null
2010-01-16,1749000.0,null
2010-01-17,1754900.0,null
2010-01-18,1761450.0,null
2010-01-19,1767500.0,null
2010-01-20,1774350.0,null
2010-01-21,1783050.0,null
2010-01-22,1790900.0,null
2010-01-23,1798000.0,null
2010-01-24,1805500.0,null
2010-01-25,1815650.0,null
2010-01-26,1825600.0,null
2010-01-27,1834800.0,null
2010-01-28,1843200.0,null
2010-01-29,1852800.0,null
2010-01-30,1862050.0,null
2010-01-31,1872200.0,null
2010-02-01,1880800.0,null
2010-02-02,1888100.0,null
2010-02-03,1899950.0,null
2010-02-04,1911250.0,null
2010-02-05,1923800.0,null
2010-02-06,1933250.0,null
2010-02-07,1943450.0,null
2010-02-08,1954550.0,null
2010-02-09,1964950.0,null
2010-02-10,1973350.0,null
2010-02-11,1982100.0,null
2010-02-12,1991150.0,null
2010-02-13,2002350.0,null
2010-02-14,2012650.0,null
2010-02-15,2021800.0,null
2010-02-16,2030800.0,null
2010-02-17,2041900.0,null
2010-02-18,2053950.0,null
2010-02-19,2062450.0,null
2010-02-20,2074050.0,null
2010-02-21,2084450.0,null
2010-02-22,2097100.0,null
2010-02-23,2108950.0,null
2010-02-24,2119600.0,null
2010-02-25,2126950.0,null
2010-02-26,2135450.0,null
2010-02-27,2143850.0,null
2010-02-28,2152200.0,null
2010-03-01,2161300.0,null
2010-03-02,2171250.0,null
2010-03-03,2178850.0,null
2010-03-04,2187150.0,null
2010-03-05,2196650.0,null
2010-03-06,2205550.0,null
2010-03-07,2213650.0,null
