Time,LTC total addresses,Price
2013-06-14,1539338,2.26920676
2013-06-15,1543626,2.1389997
2013-06-16,1547207,2.08581996
2013-06-17,1550946,2.13885903
2013-06-18,1555568,2.28164101
2013-06-19,1560430,2.30478644
2013-06-20,1564930,2.29816866
2013-06-21,1569492,2.32596111
2013-06-22,1574715,2.86342502
2013-06-23,1579607,2.89759588
2013-06-24,1584297,3.13449526
2013-06-25,1588716,2.84831095
2013-06-26,1593825,2.80642462
2013-06-27,1598388,2.88080001
2013-06-28,1603069,3.03684282
2013-06-29,1607343,2.76123214
2013-06-30,1611193,2.78822064
2013-07-01,1616066,3.00915861
2013-07-02,1621415,2.94967508
2013-07-03,1627088,2.84685397
2013-07-04,1632173,2.67515993
2013-07-05,1635995,2.7068615
2013-07-06,1640334,2.42302251
2013-07-07,1644086,2.45777678
2013-07-08,1648967,2.71115971
2013-07-09,1653358,2.5847609
2013-07-10,1657880,2.60924721
2013-07-11,1662732,2.83712006
2013-07-12,1667794,2.72275782
2013-07-13,1671441,2.80747962
2013-07-14,1675296,2.92842889
2013-07-15,1679444,2.87367344
2013-07-16,1684207,2.9993422
2013-07-17,1688702,3.07634521
2013-07-18,1693138,3.14510536
2013-07-19,1696975,2.88130379
2013-07-20,1701508,2.96239996
2013-07-21,1705000,2.87428427
2013-07-22,1709020,2.94577599
2013-07-23,1712931,2.8872323
2013-07-24,1716922,2.9881146
2013-07-25,1720739,2.94855642
2013-07-26,1724383,2.98315144
2013-07-27,1727870,2.89692783
2013-07-28,1731313,2.88486409
2013-07-29,1734836,2.94328332
2013-07-30,1738940,2.97261262
2013-07-31,1742535,3.0010097
2013-08-01,1746552,2.87411332
2013-08-02,1750176,2.94225001
2013-08-03,1754237,2.84242773
2013-08-04,1758175,3.01101542
2013-08-05,1762903,2.99907351
2013-08-06,1766685,2.84408832
2013-08-07,1771181,2.82161355
2013-08-08,1775322,2.75361848
2013-08-09,1779173,2.71074104
2013-08-10,1783049,2.68513608
2013-08-11,1786784,2.55130982
2013-08-12,1790415,2.69429994
2013-08-13,1794325,2.65549135
2013-08-14,1797931,2.75969052
2013-08-15,1802735,2.7352581
2013-08-16,1806258,2.76197362
2013-08-17,1809706,2.71722984
2013-08-18,1812979,2.80070996
