Time,LTC full node data size,Price
2012-11-18,695.75763000,
2012-11-19,696.28387400,
2012-11-20,696.77731200,
2012-11-21,697.36929100,
2012-11-22,697.94027800,
2012-11-23,698.56577400,
2012-11-24,699.29725100,
2012-11-25,700.03989600,
2012-11-26,700.73994300,
2012-11-27,701.52856600,
2012-11-28,702.18559800,
2012-11-29,703.04305200,
2012-11-30,703.91619400,
2012-12-01,704.97291500,
2012-12-02,705.56689900,
2012-12-03,706.09740500,
2012-12-04,706.66741000,
2012-12-05,707.35294600,
2012-12-06,707.80043600,
2012-12-07,708.28506100,
2012-12-08,709.02584200,
2012-12-09,710.10350300,
2012-12-10,711.12256100,
2012-12-11,711.54502700,
2012-12-12,711.98065200,
2012-12-13,712.39551100,
2012-12-14,713.02389200,
2012-12-15,713.63541600,
2012-12-16,714.51077100,
2012-12-17,715.37675600,
2012-12-18,715.84449100,
2012-12-19,716.25536300,
2012-12-20,716.65983700,
2012-12-21,717.26327500,
2012-12-22,717.75954100,
2012-12-23,718.50268400,
2012-12-24,719.17306600,
2012-12-25,719.78900200,
2012-12-26,720.32862200,
2012-12-27,721.01275300,
2012-12-28,721.47409500,
2012-12-29,721.89426900,
2012-12-30,722.32503300,
2012-12-31,722.97947100,
2013-01-01,723.44980600,
2013-01-02,723.91509400,
2013-01-03,724.35274200,
2013-01-04,724.91797500,
2013-01-05,725.55437600,
2013-01-06,726.10840300,
2013-01-07,726.87308200,
2013-01-08,727.60270100,
2013-01-09,728.37885200,
2013-01-10,729.04907100,
2013-01-11,730.68298300,
2013-01-12,731.28312100,
2013-01-13,732.03943300,
2013-01-14,732.83356700,
2013-01-15,733.61775200,
2013-01-16,734.42978900,
2013-01-17,734.97424000,
2013-01-18,735.67790500,
2013-01-19,737.04765600,
2013-01-20,737.57708500,
2013-01-21,738.12716500,
2013-01-22,739.23304500,
2013-01-23,740.17789000,
2013-01-24,741.21569600,
2013-01-25,742.00848200,
2013-01-26,742.80767700,
2013-01-27,743.67609000,
2013-01-28,744.47912400,
2013-01-29,745.22548300,
2013-01-30,746.35449600,
2013-01-31,747.09209600,
2013-02-01,747.80298100,
2013-02-02,748.49945900,
2013-02-03,749.18683900,
2013-02-04,750.02500700,
2013-02-05,750.75846900,
2013-02-06,751.41422800,
2013-02-07,752.34000900,
2013-02-08,753.31861700,
2013-02-09,754.39503200,
2013-02-10,755.80380600,
2013-02-11,756.93535700,
2013-02-12,757.85637100,
2013-02-13,758.59951800,
2013-02-14,759.34116200,
2013-02-15,760.17720700,
2013-02-16,761.12234600,
2013-02-17,762.01301000,
2013-02-18,763.36037400,
2013-02-19,764.40367500,
2013-02-20,765.41515600,
2013-02-21,766.71716700,
2013-02-22,767.86504800,
2013-02-23,769.09573800,
2013-02-24,769.99089400,
2013-02-25,771.02849000,
2013-02-26,772.30478500,
2013-02-27,773.51644500,
2013-02-28,775.29951000,
2013-03-01,776.84010700,
2013-03-02,778.24277200,
2013-03-03,779.23565100,
2013-03-04,781.70890000,
2013-03-05,783.82795400,
2013-03-06,785.81962200,
2013-03-07,788.05367700,
2013-03-08,789.69316400,
2013-03-09,791.12249800,
2013-03-10,793.23966900,
2013-03-11,802.04782800,
2013-03-12,804.58760000,
2013-03-13,806.67650700,
2013-03-14,808.88924000,
2013-03-15,811.37937400,
2013-03-16,813.24144300,
2013-03-17,815.33888900,
2013-03-18,817.22542100,
2013-03-19,819.41870600,
2013-03-20,820.70658400,
2013-03-21,822.82716600,
2013-03-22,824.41036800,
2013-03-23,825.79413800,
2013-03-24,827.92240500,
2013-03-25,830.38769400,
2013-03-26,832.99808100,
2013-03-27,835.24431800,
2013-03-28,837.42104000,
2013-03-29,839.39453300,
2013-03-30,841.40171100,
2013-03-31,843.43767100,
2013-04-01,846.43369000,
2013-04-02,850.88832700,
2013-04-03,856.70894700,
2013-04-04,861.03651000,
2013-04-05,867.31062500,
2013-04-06,872.85679600,
2013-04-07,876.40423200,
2013-04-08,881.31553800,
2013-04-09,886.01017200,
2013-04-10,891.00324700,
2013-04-11,895.91934500,
2013-04-12,899.82653200,
2013-04-13,903.71736900,
2013-04-14,907.94675500,
2013-04-15,911.99907000,
2013-04-16,915.86455600,
2013-04-17,919.54595900,
2013-04-18,922.99278200,
2013-04-19,926.96511300,
2013-04-20,930.03593400,
2013-04-21,933.48975800,
2013-04-22,937.36667800,
2013-04-23,941.17586300,
2013-04-24,945.30968100,
2013-04-25,951.37666100,
2013-04-26,955.28055900,
2013-04-27,959.40774400,
2013-04-28,963.35325000,
2013-04-29,967.67642000,
2013-04-30,973.43768800,4.40351725
2013-05-01,978.09082100,4.28954124
2013-05-02,982.24682700,3.78002214
2013-05-03,986.03842500,3.3904376
2013-05-04,989.41806600,3.03227091
2013-05-05,992.27323200,3.49312592
2013-05-06,996.75837600,3.59422016
2013-05-07,1001.13926100,3.37086749
2013-05-08,1005.20640200,3.28361988
2013-05-09,1010.20768700,3.39939594
2013-05-10,1016.04116000,3.4065299
2013-05-11,1019.79158600,3.46038008
2013-05-12,1023.39670300,3.36281109
2013-05-13,1026.89413300,3.26088858
2013-05-14,1030.77340500,3.28101492
2013-05-15,1034.64156500,2.82399011
2013-05-16,1038.46401500,2.92974305
2013-05-17,1041.90851500,2.89141655
