Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,OL_MktCap,OL_BlkSz,OL_AvgComPwr,OL_AvgTransFee,OL_MinDif,OL_ActAdd,OL_NewAdd,OL_ChnTrans,BIC_HshRt,D_AvgPrc
2021-01-25,141.4382781982422,147.15028381347656,137.0099334716797,137.44419860839844,6344860290,9724434297.2,0.06166305,299.81834859,0.0001952852376036,10.0850732,150495.0,41511.0,63930.0,299068808833370.0,140.76067352294922
2021-01-26,137.43292236328125,139.5409698486328,128.8664093017578,134.75526428222656,5897389103,8768422179.0,0.06539187,303.74554838,0.0001947273692882,10.49286492,163022.0,43345.0,63116.0,310030706045250.0,135.1488914489746
2021-01-27,134.75144958496094,134.86264038085938,118.78751373291016,122.94947052001952,6281091792,8382901161.95,0.07138008,294.21138379,0.0001726199764528,10.49286492,155349.0,66053.0,68798.0,291717904356280.0,127.8377685546875
2021-01-28,122.94125366210938,135.79153442382812,121.5363540649414,133.4869384765625,5828235786,8750623913.6625,0.07055165,285.1924623,0.0001816898398504,10.49286492,155560.0,67577.0,66875.0,288905210848730.0,128.43902015686035
2021-01-29,138.21852111816406,144.95843505859375,132.16175842285156,135.0125732421875,8878892082,9534044189.6875,0.08299935,286.04905791,0.000226028841923,10.49286492,188101.0,91605.0,83181.0,283213629851180.0,137.58782196044922
2021-01-30,134.99925231933594,135.9033966064453,128.91656494140625,133.4000244140625,6332391807,8906609015.05,0.07701182,278.78957787,0.0002044767410901,9.88523232,192245.0,89262.0,80978.0,269019345070210.0,133.3048095703125
2021-01-31,133.41802978515625,134.70370483398438,126.25299072265624,129.57081604003906,4539387378,8520249472.8,0.06323565,293.47536898,0.000179499475939,9.88523232,168650.0,78018.0,77262.0,303404263969200.0,130.98638534545898
2021-02-01,129.57460021972656,136.13021850585938,126.35044860839844,131.95193481445312,5607159828,8628509409.0,0.07257094,306.3014885,0.0002079129513644,9.88523232,174128.0,83148.0,80949.0,304220702914240.0,131.00180053710938
2021-02-02,131.95291137695312,145.5329132080078,131.95291137695312,142.50697326660156,7552216052,9695077219.7,0.07460622,298.99538775,0.0002118273962943,10.48956144,183670.0,84125.0,78853.0,304108945848810.0,137.9864273071289
2021-02-03,142.4767303466797,155.89230346679688,142.16775512695312,155.61203002929688,8586975076,10269829346.0,0.08379797,290.63981747,0.0002042168338396,10.48956144,190963.0,90053.0,85580.0,291229899372140.0,149.03720474243164
2021-02-04,155.65647888183594,158.08877563476562,142.41409301757812,145.148193359375,7811659280,9644718802.425,0.08761101,284.76657839,0.000217337954112,10.48956144,194451.0,90911.0,82331.0,289162374457930.0,150.32688522338867
2021-02-05,145.150634765625,156.53530883789062,144.31817626953125,154.8522186279297,7359451680,10387982777.825,0.0934766,294.378228,0.0002127044151704,10.48956144,214540.0,91135.0,79365.0,300621376666980.0,150.21408462524414
2021-02-06,154.8540802001953,163.43093872070312,150.5127716064453,155.71473693847656,8323878876,10854024960.6,0.07537914,297.62728972,0.0001995860912909,10.20943461,183843.0,91459.0,83557.0,291218711304130.0,156.12813186645508
2021-02-07,155.66954040527344,157.12864685058594,145.66253662109375,151.14007568359375,6884924123,9959528167.1125,0.07698054,292.53106498,0.0002122844393077,10.20943461,173056.0,79923.0,73329.0,291138581612110.0,152.40019989013672
2021-02-08,151.10751342773438,168.2659454345703,148.1227264404297,167.21905517578125,8863883926,11016902103.9,0.07239344,302.44798381,0.0002243537949241,10.20943461,184459.0,82883.0,75377.0,303523102041950.0,158.6788101196289
