Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,ES_AvgTransFee,ES_AvgGasPrc,ES_BlkCnt,ES_BlkSz,ES_BlkTm,ES_ActAdd,ES_DepCon,ES_GasLmt,ES_GasUsd,ES_VerCon,OL_MktCap,OL_NewAdd,OL_ChnTrans,OL_ChnVol,D_AvgPrc
2021-09-29,2809.297607421875,2946.88134765625,2786.98828125,2853.143310546875,15763456158,21.43,83688301230,6412,87285,13.23,457402,10003,30019875,99024382289,270,343084839480.688,97310.0,1135213,3239679.761055492,2849.07763671875
2021-09-30,2852.558837890625,3046.51953125,2840.28955078125,3001.678955078125,17661065099,31.66,107078373237,6338,82913,13.47,454578,8922,30022092,97958729328,242,352033549105.50165,96272.0,1119724,4897634.519323832,2935.26171875
2021-10-01,3001.12939453125,3329.853515625,2978.654296875,3307.51611328125,22307625573,24.93,93359939426,6485,81217,13.14,527158,8322,30023617,99940537596,223,363036558921.30426,108102.0,1182398,3851117.648932968,3154.288330078125
2021-10-02,3308.870361328125,3464.83740234375,3260.027587890625,3391.6943359375,19202671704,20.35,68628077449,6388,81231,13.36,470673,12148,30034383,98607821850,222,385368014214.1256,101049.0,1123946,2428219.803401605,3356.357421875
2021-10-03,3390.767578125,3484.605712890625,3348.1201171875,3418.358642578125,15516566862,19.14,65821653497,6363,90623,13.4,472079,11416,30025779,98254946022,186,398385331417.2344,101530.0,1138634,2905842.4634876945,3410.4630126953125
2021-10-04,3418.7763671875,3434.775390625,3283.44873046875,3380.089111328125,17747154101,31.51,105762393776,6366,90094,13.4,441747,8342,30025010,98521267138,171,395043082899.4945,98807.0,1099015,2569223.921514205,3379.2723999023438
2021-10-05,3381.784423828125,3541.45166015625,3365.817626953125,3518.5185546875,16632591670,39.12,130495357534,6411,91693,13.29,511710,8117,30022201,98749386920,178,398364000283.6553,118834.0,1197705,3392705.223743646,3451.89306640625
2021-10-06,3516.5703125,3622.55126953125,3354.4697265625,3580.56201171875,21855226591,40.2,150034552460,6427,86861,13.25,613774,7247,30022969,99234891325,169,405606557400.2217,138604.0,1257195,4834313.764852843,3518.538330078125
2021-10-07,3576.814453125,3650.01318359375,3479.9091796875,3587.974853515625,19090322927,39.36,151975664165,6324,81744,13.46,584646,9354,30021569,97564435387,221,423904830939.3052,193251.0,1395038,4241312.161201712,3573.6779174804688
2021-10-08,3587.832763671875,3667.95751953125,3547.828125,3563.75927734375,16222029488,36.25,126365894925,6417,81847,13.27,552624,10744,30022674,99080580257,236,422804483333.2748,134046.0,1348441,4567533.147415803,3591.8444213867188
2021-10-09,3559.997802734375,3628.2373046875,3544.640380859375,3575.716796875,12707036942,24.18,84647984176,6349,77829,13.43,533986,10967,30023204,97972965669,197,423094896960.7897,124510.0,1199363,2115264.75059588,3577.1480712890625
2021-10-10,3575.0205078125,3603.244873046875,3414.970947265625,3425.852783203125,16171746693,25.98,86179335901,6375,75464,13.4,487117,10310,30023229,98475597666,191,420487075009.06647,110356.0,1151464,2066226.329293816,3504.7722778320312
2021-10-11,3419.726806640625,3622.28955078125,3385.76171875,3545.35400390625,18579189588,33.6,114272474792,6382,77156,13.39,498893,7905,30019248,98682802052,241,424150608723.2293,111409.0,1140041,2636717.024120092,3493.2830200195312
2021-10-12,3546.477783203125,3546.477783203125,3407.338134765625,3492.5732421875,18109578443,26.9,97930380585,6353,78523,13.43,502189,9853,30020233,98036296850,288,408863481455.02185,122227.0,1223112,2654598.6867093346,3498.2167358398438
2021-10-13,3492.753662109375,3607.74169921875,3417.60205078125,3606.20166015625,16211275589,30.91,108522185833,6320,79415,13.52,486562,10052,30033073,97733405137,215,403451876665.0884,119396.0,1182396,3377112.959810858,3531.0747680664062
2021-10-14,3604.958984375,3819.258544921875,3590.275146484375,3786.01416015625,19443499909,42.01,138988036863,6330,72694,13.49,511562,10048,30028142,97754677280,190,426273461158.19257,128640.0,1221513,3602753.828475139,3700.126708984375
2021-10-15,3790.154296875,3895.46630859375,3735.363525390625,3862.634765625,20966841512,46.43,152666220738,6318,77340,13.46,525742,9117,30023285,97560326707,296,447422765565.0495,123853.0,1255225,5282666.284681245,3820.9047241210938
2021-10-16,3865.66650390625,3962.453125,3805.885986328125,3830.382080078125,16578095629,28.38,90967356392,6446,67970,13.22,536243,14838,30014663,99385187004,248,451690429765.19006,125977.0,1259317,3473122.84458361,3866.096923828125
2021-10-17,3829.85888671875,3914.89794921875,3660.723388671875,3847.1044921875,15908090346,25.97,80516798136,6385,70981,13.3,500853,10100,30017116,98619555604,216,455508678689.66736,110208.0,1132915,2514975.138571751,3813.1461791992188
2021-10-18,3847.72998046875,3888.209228515625,3686.75048828125,3748.76025390625,17386204158,41.31,113413635116,6316,70435,13.49,522995,10556,30016429,97462750354,308,450712378729.4391,122813.0,1215730,2912403.278905156,3792.8624877929688
2021-10-19,3747.162841796875,3883.9287109375,3736.7802734375,3877.65087890625,15998757133,24.13,79599322886,6440,70772,13.3,544757,10706,30017699,99404881141,318,447310034803.9642,129515.0,1208166,2765896.973720149,3811.3806762695312
2021-10-20,3877.73095703125,4167.47216796875,3833.2880859375,4155.9921875,20338319988,27.17,87248508777,6354,70098,13.43,572748,10329,30019575,98176164702,308,452688497948.7286,141250.0,1237742,3283923.138234672,4008.620849609375
