Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,OL_MktCap,OL_BlkSz,OL_AvgComPwr,OL_AvgTransFee,OL_MinDif,OL_ActAdd,OL_NewAdd,OL_ChnTrans,OL_ChnVol,BIC_HshRt,D_AvgPrc
2019-04-05,4922.80615234375,5053.509765625,4919.49169921875,5036.68115234375,16837325387,88793350993.71048,1240715.298136646,4.592014172705776e+19,0.0003371010503084,6379265451411.053,916076.0,431506,397607,899591.06870263,4.8449292371931e+19,4983.1221923828125
2019-04-06,5036.79296875,5205.82177734375,4992.22216796875,5059.8173828125,16929795194,89210395814.02989,1197755.4827586208,4.591830940142484e+19,0.0002156208061091,6379265451411.053,680454.0,339775,372096,548467.43626458,4.7773856045886e+19,5073.66357421875
2019-04-07,5062.7939453125,5235.1865234375,5050.412109375,5198.89697265625,16655416140,91670395999.40443,1196516.5123966942,4.544685429665016e+19,0.00026899814296,6393023717201.863,613273.0,295431,310968,644720.48190351,4.2747729852944e+19,5136.8223876953125
2019-04-08,5199.83544921875,5318.83642578125,5148.2119140625,5289.77099609375,17154113634,93282599656.03346,1174869.0738255037,4.574446925580987e+19,0.0003152998458303,6393023717201.863,727592.0,363508,377182,792651.96109236,4.6639131138381e+19,5239.1636962890625
2019-04-09,5289.91796875,5289.91796875,5167.4189453125,5204.95849609375,14722104361,91796662884.06856,1237548.845637584,4.591280881183961e+19,0.000319825235638,6393023717201.863,809917.0,415668,376149,784182.16202751,4.5837182335531e+19,5238.0533447265625
2019-04-10,5204.10546875,5421.6513671875,5193.38232421875,5324.5517578125,15504590933,93915111429.1142,1240437.1582733812,4.548986349495365e+19,0.0003152580924248,6393023717201.863,778727.0,402955,370528,981961.06906257,4.494620235172e+19,5285.9227294921875
2019-04-11,5325.08154296875,5354.2255859375,5017.29638671875,5064.48779296875,16555616019,89337879072.14473,1192694.735483871,4.637107657782352e+19,0.0002811414225572,6393023717201.863,799866.0,435939,400722,1014693.25680273,4.8567023602771e+19,5190.2728271484375
2019-04-12,5061.20068359375,5103.2744140625,4955.8525390625,5089.5390625,13675206312,89789518247.20761,1217506.725490196,4.583388304298619e+19,0.0002796941100075,6393023717201.863,782448.0,386014,390464,822980.93442859,4.8875344024887e+19,5052.4666748046875
2019-04-13,5088.85009765625,5127.1220703125,5061.58935546875,5096.58642578125,10823289598,89922580630.03658,1101946.8394160585,4.552803352208033e+19,0.000222728168512,6393023717201.863,648879.0,340270,344201,626592.20120657,4.4881011191602e+19,5093.5369873046875
2019-04-14,5095.7587890625,5184.01611328125,5053.568359375,5167.72216796875,10391952498,91186269865.7202,1145201.5939849624,4.614323610792188e+19,0.000139409536964,6393023717201.863,551222.0,292299,382886,551069.08296183,4.2214082174307e+19,5125.266357421875
2019-04-15,5167.32177734375,5196.60693359375,5024.0693359375,5067.1083984375,12290155061,89418946516.04564,1244996.4330708662,4.520407511117374e+19,0.0002165830668074,6393023717201.863,710961.0,356606,336265,705647.67011464,4.0323493461444e+19,5113.776611328125
2019-04-16,5066.57763671875,5238.9453125,5055.19482421875,5235.5595703125,11618660197,92401406517.30452,1225031.4066666667,4.514015663522331e+19,0.0001991237049464,6393023717201.863,753892.0,389591,385042,754971.9106249401,4.7376670849012e+19,5149.0693359375
2019-04-17,5236.13525390625,5274.275390625,5219.20556640625,5251.93798828125,12438480677,92699400646.05264,1270826.1176470588,4.516977108503809e+19,0.0002325945057106,6393023717201.863,780544.0,385560,338577,1055440.56274697,4.4715630813601e+19,5245.3885498046875
2019-04-18,5251.48046875,5319.986328125,5250.5068359375,5298.3857421875,13256489918,93528561411.46127,1225907.695035461,4.458182499938848e+19,0.0002019856705593,6393023717201.863,732868.0,383620,371727,1176502.07351475,4.4877629677347e+19,5280.08984375
2019-04-19,5298.154296875,5336.68017578125,5233.3349609375,5303.8125,13780238655,93634436092.36684,1196317.3026315789,4.4461581913422455e+19,0.0002184872259071,6393023717201.863,744931.0,368714,352335,908275.63158135,4.9017597208769e+19,5292.9954833984375
2019-04-20,5304.16064453125,5358.49072265625,5295.8779296875,5337.88623046875,13169647522,94245383934.00554,1193541.163120567,4.4749699261397e+19,0.0001678442862158,6393023717201.863,706224.0,382755,370252,729588.80784477,4.535427803579e+19,5324.1038818359375
2019-04-21,5335.87890625,5359.9248046875,5257.33935546875,5314.53125,13731844223,93843597810.7466,1236384.358490566,4.562660634745531e+19,0.0001522872144851,6353030562983.983,797072.0,297923,365699,523724.66157493,4.8185243808056e+19,5316.9185791015625
2019-04-22,5312.49462890625,5422.6875,5280.27685546875,5399.365234375,14601631648,95350970856.3635,1097669.3525179855,4.606022630363451e+19,0.0001675769114995,6353030562983.983,580710.0,296274,348360,817031.38430595,4.6644185645314e+19,5353.7060546875
2019-04-23,5399.36572265625,5633.80224609375,5389.40869140625,5572.3623046875,15867308108,98414670477.60498,1220854.2177419355,4.515489764307716e+19,0.0002682103879423,6353030562983.983,703182.0,368706,321156,1215241.80547457,3.8988598871186e+19,5498.7347412109375
2019-04-24,5571.50830078125,5642.04443359375,5418.26318359375,5464.86669921875,17048033399,96525666251.13457,1257876.3884892086,4.52010715899406e+19,0.0003478021233831,6353030562983.983,807265.0,409790,353695,1423873.1203553,4.3881426840945e+19,5524.170654296875
2019-04-25,5466.5244140625,5542.23828125,5181.3388671875,5210.515625,15330283408,92043627080.13332,1211058.6543209876,4.585664198332923e+19,0.0002705193229578,6353030562983.983,819513.0,425767,421185,1298568.19818863,4.8344574594865e+19,5350.154296875
2019-04-26,5210.3046875,5383.63427734375,5177.36865234375,5279.34814453125,16812108040,93269188982.3982,1253195.6301369865,4.555634347161778e+19,0.0002430791787669,6353030562983.983,768982.0,385701,375472,1183445.37696034,4.6946612588731e+19,5262.6639404296875
2019-04-27,5279.47119140625,5310.75,5233.6357421875,5268.291015625,13111274675,93084051873.8706,1185349.9870967742,4.645988745013121e+19,0.0001669232951213,6353030562983.983,687837.0,356220,398741,639454.1050193401,4.8275413293562e+19,5273.0369873046875
2019-04-28,5271.74658203125,5326.23193359375,5255.68359375,5285.13916015625,12819992056,93390454266.61308,1108923.7727272727,4.481640135489154e+19,0.0001317289825791,6353030562983.983,545041.0,284472,357905,530979.07672721,4.469055992859e+19,5284.7003173828125
2019-04-29,5284.8583984375,5311.27490234375,5216.48779296875,5247.3525390625,13735490672,92733903310.16858,1047481.7764705884,4.6293721733618885e+19,0.0001798941244365,6353030562983.983,721174.0,349381,352276,684340.17536749,5.1783591653777e+19,5264.993408203125
2019-04-30,5247.72607421875,5363.25732421875,5224.18994140625,5350.7265625,13878964574,94570683275.54988,1263998.0202702703,4.787117515712146e+19,0.0002194502629817,6353030562983.983,790062.0,392121,352496,923867.36054465,4.8584613414093e+19,5296.4749755859375
2019-05-01,5350.91455078125,5418.00390625,5347.64599609375,5402.697265625,13679528236,95500302387.58636,1205657.4024390243,4.801264984931073e+19,0.0001938400867689,6353030562983.983,858076.0,421207,408441,768942.65973877,5.0654331800979e+19,5379.8154296875
2019-05-02,5402.4228515625,5522.2626953125,5394.21728515625,5505.28369140625,14644460907,97325570287.48454,1082180.6416184972,4.9793919054415135e+19,0.0001274156432528,6353030562983.983,709647.0,372868,445890,687995.42282863,5.4867185411334e+19,5456.046630859375
2019-05-03,5505.55224609375,5865.8818359375,5490.20166015625,5768.28955078125,18720780006,101987322413.48969,1186261.7573964498,5.022169795865991e+19,0.0001786609202048,6353030562983.983,830692.0,410896,420928,824043.25708089,5.3295131483402e+19,5657.4813232421875
2019-05-04,5769.20263671875,5886.8935546875,5645.46923828125,5831.16748046875,17567780766,103109400149.02458,1184826.457746479,5.057613429221936e+19,0.0001987788409968,6702169884349.173,721892.0,369004,366194,720737.39382516,4.8117932578551e+19,5783.1832275390625
2019-05-05,5831.068359375,5833.86279296875,5708.03515625,5795.70849609375,14808830723,102491525202.09996,1203493.357142857,4.917132090619579e+19,0.000189430567572,6702169884349.173,637724.0,340215,339534,654723.6879151,4.2329960289162e+19,5792.168701171875
2019-05-06,5791.693359375,5802.95751953125,5653.6875,5746.80712890625,15737171804,101636807466.17474,1217081.9857142856,4.844797885453637e+19,0.0001891352577956,6702169884349.173,672428.0,332151,339998,694177.25791148,4.6823178937214e+19,5748.786376953125
2019-05-07,5745.59912109375,5988.17822265625,5741.39599609375,5829.50146484375,18026409033,103109745281.81622,1252790.9510489511,4.918708025779489e+19,0.0002490915567555,6702169884349.173,818971.0,425404,365735,791662.14499104,4.6753411521096e+19,5826.168701171875
2019-05-08,5849.4814453125,5989.98095703125,5794.7158203125,5982.45751953125,15320605300,105825706663.417,1244316.560283688,4.793227042338928e+19,0.0002944329477348,6702169884349.173,789743.0,407984,365138,881085.88860503,4.7220010648955e+19,5904.158935546875
2019-05-09,5982.31640625,6183.0390625,5982.31640625,6174.52880859375,16784645411,109233972940.8962,1263015.1594202898,4.695495353456407e+19,0.0002962374031969,6702169884349.173,801069.0,410700,347019,859517.69204178,4.8350171828623e+19,6080.5501708984375
2019-05-10,6175.82275390625,6434.61767578125,6161.51904296875,6378.84912109375,19419875368,112859938328.71588,1268908.7394366197,4.628317503257273e+19,0.000333105151225,6702169884349.173,814201.0,416242,349909,930912.55069718,4.6213925644698e+19,6287.7021484375
2019-05-11,6379.6669921875,7333.0029296875,6375.69873046875,7204.771484375,28867562329,127484382497.16656,1239469.1015625,4.545421348607137e+19,0.0003787115872195,6702169884349.173,778096.0,413879,346247,919718.10051425,4.340786043463e+19,6823.2850341796875
2019-05-12,7203.50732421875,7503.8720703125,6815.77099609375,6972.37158203125,27773333680,123384916716.94012,1208522.006849315,4.661452208970679e+19,0.000331247446727,6702169884349.173,805509.0,392182,344640,823145.04602349,4.7765150364414e+19,7123.8804931640625
2019-05-13,6971.17822265625,8047.4130859375,6898.2822265625,7814.9150390625,28677672181,138311494112.36014,1218428.8245614036,4.801785924993322e+19,0.0002752445047744,6702169884349.173,853107.0,403973,368418,706309.12516193,5.4283279072948e+19,7432.9471435546875
2019-05-14,7807.88427734375,8268.712890625,7696.39111328125,7994.416015625,32031452227,141503964012.5187,1224470.5897435895,4.874645614996749e+19,0.0003124307999297,6702169884349.173,894428.0,461573,381321,1039974.00403408,5.4538900851298e+19,7941.85107421875
2019-05-15,7989.37451171875,8216.423828125,7899.10693359375,8205.16796875,28344112920,145248798075.00085,1248833.304964539,4.8707915321548415e+19,0.0004840633603417,6702169884349.173,836979.0,424245,340141,982785.2588287,4.9931629299744e+19,8077.518310546875
2019-05-16,8194.5009765625,8320.82421875,7729.6083984375,7884.9091796875,33167197581,139594828332.2663,1255385.8451612904,4.948079183253551e+19,0.000606524494888,6702169884349.173,942846.0,484290,394368,1217236.69541094,5.0176586167907e+19,8032.460693359375
2019-05-17,7886.92578125,7929.1455078125,7038.12451171875,7343.8955078125,30066644905,130030466765.7638,1263009.2,5.0123213030347465e+19,0.0006031553608073,6702169884349.173,917079.0,440814,374341,1049834.12532383,5.024825429449e+19,7549.5228271484375
2019-05-18,7341.66455078125,7447.27197265625,7251.50439453125,7271.2080078125,21354286562,128757095323.86784,1226132.36,5.112531253309668e+19,0.0004551946686703,6704632680587.417,847077.0,419351,370975,672940.13243634,4.9834097270027e+19,7327.9122314453125
2019-05-19,7267.962890625,8261.94140625,7267.962890625,8197.689453125,25902422040,145179035007.66663,1176302.9935897435,5.120608062920737e+19,0.0003815068447482,6704632680587.417,762359.0,351611,331365,639885.6989655601,5.2638537814063e+19,7748.88916015625
2019-05-20,8196.923828125,8200.9677734375,7678.78173828125,7978.30908203125,23843404340,141311311646.74026,1130245.3885714286,5.174450600964824e+19,0.0004059926967567,6704632680587.417,812891.0,383107,378729,687971.60105512,5.7670780301278e+19,8013.74560546875
2019-05-21,7977.96923828125,8062.16796875,7843.33984375,7963.32763671875,25127245056,141060795613.59872,1265526.4093959732,5.134386284336414e+19,0.0005541341184695,6704632680587.417,873156.0,434897,381178,749467.32317655,5.0012711831355e+19,7961.701171875
2019-05-22,7956.2919921875,7997.6123046875,7615.9873046875,7680.06640625,24719473175,136058234911.1826,1223395.5159235669,5.19032554640154e+19,0.0004848690689662,6704632680587.417,873280.0,430157,386334,807858.16750965,5.1934792844099e+19,7812.489501953125
2019-05-23,7677.26904296875,7943.79150390625,7533.19677734375,7881.8466796875,24457107820,139649279403.47174,1212502.7409638555,5.310178544955826e+19,0.0004087736702168,6704632680587.417,834233.0,405134,395478,828623.0551939299,5.6345280488867e+19,7759.0260009765625
2019-05-24,7881.6953125,8140.7197265625,7824.44873046875,7987.37158203125,25919126991,141533827935.03784,1230552.7718120806,5.256926066297651e+19,0.0004859088173502,6704632680587.417,829451.0,397100,362601,828542.32773844,5.0327670127321e+19,7958.558837890625
2019-05-25,7991.88525390625,8117.92578125,7965.97607421875,8052.5439453125,22256813107,142703659282.50018,1203986.966442953,5.273981194172409e+19,0.0004217674809647,6704632680587.417,787372.0,369032,358939,672636.87306334,5.1717683787489e+19,8032.082763671875
2019-05-26,8055.2060546875,8687.5205078125,7924.67041015625,8673.2158203125,26677970091,153720503304.67514,1025841.6851851852,5.185141134471821e+19,0.0002927778812413,6704632680587.417,675006.0,326570,375097,502957.76357765,5.0541360259508e+19,8335.153198242188
2019-05-27,8674.072265625,8907.1748046875,8668.705078125,8805.7783203125,27949839564,156088255553.4095,1163482.21686747,5.25083626587544e+19,0.0004104271158196,6704632680587.417,835850.0,394222,389407,843342.72396578,5.4624602580778e+19,8763.9326171875
2019-05-28,8802.7578125,8807.0166015625,8634.7216796875,8719.9619140625,24226919267,154584102674.18085,1242492.0961538462,5.320020680457398e+19,0.0004766561190552,6704632680587.417,871714.0,404336,372533,742144.82885688,5.5127757551099e+19,8741.114501953125
2019-05-29,8718.591796875,8755.8525390625,8482.728515625,8659.4873046875,23473479966,153531310744.28287,1234596.7808988765,5.339937127595611e+19,0.0004932614022607,6704632680587.417,973724.0,476587,431546,1167991.2470861298,5.6022731803443e+19,8654.1650390625
2019-05-30,8661.7607421875,9008.314453125,8221.2734375,8319.47265625,29246528551,147519529650.03613,1207493.8625,5.409135629326416e+19,0.0004626723260918,6704632680587.417,830080.0,401278,359917,803470.04108494,5.7042134893302e+19,8552.705322265625
2019-05-31,8320.2861328125,8586.6591796875,8172.55078125,8574.501953125,25365190957,152055603449.971,1296907.5846153847,5.234689771065745e+19,0.0006189821210279,7459680720542.296,821101.0,383264,324074,1749931.27080032,5.1019160597073e+19,8413.49951171875
2019-06-01,8573.83984375,8625.6005859375,8481.578125,8564.0166015625,22488303544,151885187232.25745,1240260.9310344828,5.347993904266417e+19,0.0005498538438873,7459680720542.296,827500.0,386404,336680,765850.44175444,5.1217308212259e+19,8561.2587890625
2019-06-02,8565.4736328125,8809.3037109375,8561.2353515625,8742.9580078125,20266216022,155073410678.53503,1206341.037313433,5.305011733968451e+19,0.0004193140286165,7459680720542.296,724278.0,337681,310310,604662.93654213,4.9903810030677e+19,8669.74267578125
2019-06-03,8741.7470703125,8743.5,8204.185546875,8208.9951171875,22004511436,145615049560.6984,1247577.68852459,5.157701498724663e+19,0.0005987952431392,7459680720542.296,711758.0,327688,281711,1078510.52621918,4.699934046693e+19,8474.60693359375
2019-06-04,8210.9853515625,8210.9853515625,7564.48876953125,7707.77099609375,24609731549,136737395029.03316,1276181.036231884,5.12103808404072e+19,0.0006719595908164,7459680720542.296,818905.0,409090,344833,1038829.59256369,4.9759122082777e+19,7923.5576171875
2019-06-05,7704.34326171875,7901.84912109375,7668.66845703125,7824.2314453125,21760923463,138819863236.7062,1239322.7142857143,5.191217629865025e+19,0.0004423722789512,7459680720542.296,922920.0,445292,394370,1115144.5249442,6.0380619717336e+19,7774.7730712890625
2019-06-06,7819.63330078125,7937.3408203125,7571.47119140625,7822.0234375,19474611077,138795742850.43735,1182713.4415584416,5.211138196623637e+19,0.0003635608150047,7459680720542.296,813263.0,388272,356501,1329228.07996713,5.9162260518142e+19,7787.6171875
2019-06-07,7826.9013671875,8126.1533203125,7788.37353515625,8043.951171875,19141423231,142748765195.44604,1184736.2533333334,5.3732183696568345e+19,0.0003229232705507,7459680720542.296,816747.0,379939,346009,746866.11633965,5.6399343099376e+19,7946.3448486328125
2019-06-08,8036.77490234375,8076.89111328125,7837.61083984375,7954.1279296875,16522722810,141167969732.23105,1174577.3383458646,5.262411046175547e+19,0.0002551693124508,7459680720542.296,715308.0,341552,316341,675042.24768889,5.1469079089967e+19,7976.3511962890625
2019-06-09,7949.6748046875,7975.97412109375,7583.2197265625,7688.0771484375,16610726547,136460677888.82376,968976.9933774834,5.408836149586496e+19,0.0002047701260567,7459680720542.296,599882.0,294454,310971,558971.6473066,5.2933862687554e+19,7799.2364501953125
