Date,Open,High,Low,Close,Adj Close,Volume,Transactions,Block Size,Difficulty,Hashrate,Active Addressses
2019-04-17,81.35240936279297,82.00177764892578,79.08088684082031,79.32746887207031,79.32746887207031,2060101784,23327.0,19727.0,11856949.0,333286148550110.0,58955.0
2019-04-18,79.39220428466797,83.20145416259766,79.30755615234375,82.07487487792969,82.07487487792969,2616912436,24440.0,19365.0,11843158.0,343686880087480.0,65113.0
2019-04-19,82.09881591796875,83.18848419189453,80.43392944335938,82.56922149658203,82.56922149658203,2608961075,24652.0,19936.0,11801334.0,341666194391480.0,61202.0
2019-04-20,82.55038452148438,82.89277648925781,80.27595520019531,81.51249694824219,81.51249694824219,2422737857,22281.0,17582.0,11801334.0,333431038264800.0,56529.0
2019-04-21,81.52201843261719,81.8905029296875,75.02021026611328,77.33155822753906,77.33155822753906,2957685726,19075.0,16323.0,11801334.0,345837372737840.0,50991.0
2019-04-22,77.2944107055664,77.88958740234375,75.69957733154297,76.94807434082031,76.94807434082031,2657300819,20933.0,19430.0,11814824.0,335390701805210.0,53982.0
2019-04-23,76.85350036621094,79.46178436279297,74.63941192626953,74.84502410888672,74.84502410888672,2920088568,25298.0,21411.0,11819729.0,329062996226740.0,65061.0
2019-04-24,74.75387573242188,75.23564910888672,71.35606384277344,73.30894470214844,73.30894470214844,3347048436,24747.0,21380.0,11819729.0,328115951949410.0,59070.0
2019-04-25,73.24531555175781,74.50772094726562,71.05500030517578,71.24811553955078,71.24811553955078,2754712046,24100.0,20104.0,11775221.0,318106670363020.0,58436.0
2019-04-26,71.3633041381836,74.51300811767578,70.19367218017578,73.11534881591797,73.11534881591797,3041612619,25563.0,20185.0,11268433.0,320477252305460.0,62175.0
2019-04-27,73.21337127685547,73.3286361694336,71.99333190917969,72.12090301513672,72.12090301513672,2059777054,21701.0,16649.0,11268433.0,322206579277420.0,57202.0
2019-04-28,72.12030792236328,72.48282623291016,69.08003234863281,69.72679901123047,69.72679901123047,2362638270,20013.0,17292.0,11268433.0,318882996048260.0,55047.0
2019-04-29,69.78425598144531,70.2292251586914,67.26605987548828,67.96038055419922,67.96038055419922,2532498296,21393.0,18511.0,11300704.0,333406253464246.0,59358.0
2019-04-30,67.9505844116211,74.66829681396484,67.9505844116211,74.28087615966797,74.28087615966797,3065300354,24301.0,21815.0,11320410.0,337688342243000.0,61445.0
2019-05-01,74.30335235595703,75.420654296875,72.29801177978516,73.65776824951172,73.65776824951172,2871792311,21494.0,16353.0,11320410.0,344091100618290.0,55311.0
