Date,Open,High,Low,Close,Adj Close,Volume,Transaction Count,Block Size,Difficulty,Hash Rate,Active Addresses
05/05/2018,168.3500061,181.628006,168.3500061,177.7619934,177.7619934,741246016,33200,32279,8999933,277313359974950,96514
06/05/2018,178.0209961,182.8829956,166.1750031,171.8000031,171.8000031,626270016,28210,27065,8999933,288470924470680,92023
07/05/2018,171.7590027,171.9170074,158.9299927,164.8789978,164.8789978,573281024,31101,33807,9320943,289442216829350,99570
08/05/2018,164.8300018,167.9810028,158.1580048,159.6170044,159.6170044,466308992,31268,32831,9758801,287784462831520,96092
09/05/2018,159.6170044,159.6170044,152.5980072,157.0549927,157.0549927,448136000,31099,30858,9758801,280464918097520,99140
10/05/2018,157.151001,160.3359985,149.3370056,149.8690033,149.8690033,426694016,31719,30550,9760989,300752648149240,101787
11/05/2018,149.4450073,149.4450073,134.7259979,137.1170044,137.1170044,530416000,33882,31476,9976815,285714783088610,102856
12/05/2018,137.2570038,144.4190063,132.5879974,141.8820038,141.8820038,410184992,28876,28863,9976815,298405010916410,95623
13/05/2018,141.7980042,147.2460022,137.6549988,144.5879974,144.5879974,383224000,27074,24185,9976815,306800107527530,71714
14/05/2018,144.6239929,152.1549988,136.0720062,147.7140045,147.7140045,584222016,32093,34452,10267458,299815423389310,102782
15/05/2018,147.4880066,149.3829956,138.5700073,139.8800049,139.8800049,415984992,31630,31271,10420962,292733405063600,99705
16/05/2018,139.6499939,140.651001,135.2769928,139.2680054,139.2680054,351689984,31414,28956,10420962,313934023927800,98911
17/05/2018,139.5590057,141.1660004,131.9519958,132.772995,132.772995,320248992,31063,30308,10469117,311899052802090,98086
18/05/2018,132.7039948,137.0549927,129.7030029,136.0570068,136.0570068,371688000,30415,29874,10635470,317142457595040,100653
19/05/2018,135.9649963,137.5010071,133.8710022,135.3200073,135.3200073,310963008,26596,29675,10635470,294322426093210,96999
20/05/2018,135.2720032,140.3150024,133.7940063,139.697998,139.697998,324983008,26436,23329,10635470,303564926543340,83970
21/05/2018,139.6439972,139.6439972,133.9340057,134.5090027,134.5090027,308376992,30491,32840,10653678,322907691083400,108536
22/05/2018,134.2599945,135.6049957,128.3320007,128.6759949,128.6759949,294447008,31372,29153,10659804,311542572971030,102028
