Date,Open,High,Low,Close,Adj Close,Volume,BTC total supply,BTC market cap,BTC average daily block size,BTC average computing power of the entire network,BTC average daily transaction fee,BTC mining difficulty,BTC number of daily active addresses,Number of new addresses added per day on BTC,BTC total addresses,BTC number of daily transactions on the chain,BTC full node data size,BTC daily transaction volume on the chain
2019-03-19,4032.69189453125,4082.216064453125,4023.8125,4071.190185546875,4071.190185546875,9344919956,17597987.5,71644754250.42642,881633.2397660819,4.676646708922081e+19,7.156393159735716e-05,6068891541676.553,719901.0,366322,490300291,295895,209468.687066,668294.99335501
2019-03-20,4070.7939453125,4089.4619140625,4031.11083984375,4087.476318359375,4087.476318359375,10175916388,17599937.5,71939327387.38734,965752.9102564104,4.8048265005117735e+19,8.165436297650558e-05,6068891541676.553,719268.0,364403,490664694,293176,209619.34452,778603.43099306
2019-03-21,4083.953857421875,4097.35986328125,4005.1513671875,4029.326904296875,4029.326904296875,10831212662,17601750.0,70923204886.34335,1094597.8689655173,4.703663475743525e+19,0.000112336696589807,6068891541676.553,723591.0,379305,491043999,306229,209778.061211,795254.47025852
2019-03-22,4028.5146484375,4053.90673828125,4021.54248046875,4023.96826171875,4023.96826171875,9252935969,17603875.0,70837432523.0747,913583.8235294118,4.775050002702158e+19,9.984719448498969e-05,6068891541676.553,736997.0,377444,491421443,310353,209933.370461,714238.94207015
2019-03-23,4022.71337890625,4049.882568359375,4015.964599609375,4035.826416015625,4035.826416015625,9578850549,17605737.5,71053699327.59166,894850.4630872483,4.702266093772619e+19,7.83444959517912e-05,6068891541676.553,641914.0,334790,491756233,270490,210066.70318,599369.08847321
2019-03-24,4035.16357421875,4040.69970703125,4006.19287109375,4022.168212890625,4022.168212890625,9144851065,17607637.5,70820881076.9753,746247.6842105263,4.799793276153234e+19,6.937453191479921e-05,6379265451411.053,543012.0,282857,492039090,225397,210180.132828,457352.08741103
2019-03-25,4024.11279296875,4038.8408203125,3934.03125,3963.070556640625,3963.070556640625,10359818883,17609387.5,69787246838.98192,962929.9,4.711668062445818e+19,8.823466288225048e-05,6379265451411.053,649957.0,328765,492367855,265827,210314.943014,604269.13322344
2019-03-26,3969.228759765625,3985.080810546875,3944.753173828125,3985.080810546875,3985.080810546875,10707678815,17611225.0,70182154662.52422,1185862.62585034,4.624652910156714e+19,8.143362338410114e-05,6379265451411.053,695233.0,353152,492721007,392506,210489.26482,697745.09990506
2019-03-27,3984.244873046875,4087.066162109375,3977.810546875,4087.066162109375,4087.066162109375,10897131934,17613025.0,71985599684.23671,1196682.0694444445,4.600114263034456e+19,0.00012550504228835873,6379265451411.053,765305.0,402131,493123138,375990,210661.587038,817205.51757614
2019-03-28,4087.58447265625,4094.902099609375,4040.266357421875,4069.107177734375,4069.107177734375,9353915899,17614800.0,71676508621.7686,1218676.6126760563,4.6254245431460176e+19,0.000122523489785666,6379265451411.053,740955.0,385274,493508412,380201,210834.639117,759826.07597848
2019-03-29,4068.2998046875,4113.5009765625,4034.09716796875,4098.37451171875,4098.37451171875,10918665557,17616637.5,72199578620.80307,1241320.5646258504,4.571901790851807e+19,0.0001522324328442072,6379265451411.053,752768.0,377054,493885466,370184,211017.11324,829971.81116159
2019-03-30,4092.13623046875,4296.806640625,4053.90966796875,4106.66015625,4106.66015625,9732688060,17618525.0,72353293368.08434,1194954.2715231788,4.655053323601402e+19,0.00015152159095077806,6379265451411.053,748133.0,381836,494267302,403438,211197.551335,720784.22442595
2019-03-31,4105.4560546875,4113.0234375,4094.100830078125,4105.404296875,4105.404296875,9045122443,17620175.0,72337942144.44342,1191795.5909090908,4.538855850781825e+19,0.00013259838110217067,6379265451411.053,626209.0,322469,494589771,361777,211354.868353,570068.92594741
2019-04-01,4105.3623046875,4164.953125,4096.9013671875,4158.18310546875,4158.18310546875,10157794171,17621912.5,73275138226.45123,1181245.4388489209,4.54302940492078e+19,0.00013422730154281372,6379265451411.053,645046.0,323587,494913358,381770,211519.061469,718974.8765392
2019-04-02,4156.91943359375,4905.95458984375,4155.31689453125,4879.8779296875,4879.8779296875,21315047816,17623712.5,86001563883.72713,1228577.0625,4.497794580948338e+19,0.0002505616035137664,6379265451411.053,812844.0,422028,495335386,377259,211695.976566,1142351.28052916
