Date,Open,High,Low,Close,Adj Close,Volume,Transactions,Block Size,Difficulty,Hashrate,Active Addressses
2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,13772.0,11084099584,234890.0,972098.0,2227847638504.0,1.6756238347715e+19,813222.0
2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,13819.7998046875,12750799872,273473.0,968469.0,2227847638504.0,1.6188900866489e+19,813490.0
2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,11490.5,18853799936,303566.0,964211.0,2227847638504.0,1.7024516391007e+19,874574.0
2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,11188.599609375,18830600192,315604.0,961005.0,2227847638504.0,1.9420997594116e+19,957141.0
2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,11474.900390625,15020399616,309322.0,965294.0,2227847638504.0,1.8644879821452e+19,931879.0
2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,11607.400390625,10740400128,243454.0,965425.0,2227847638504.0,1.7190458445936e+19,858958.0
2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,12899.2001953125,11801700352,240433.0,947155.0,2227847638504.0,2.0723545530334e+19,846869.0
2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,11600.099609375,9935179776,215435.0,948330.0,2227847638504.0,2.0076476050008e+19,864703.0
2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10931.400390625,10537400320,245395.0,970602.0,2227847638504.0,1.9621873564316e+19,809424.0
2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,10868.400390625,9660609536,271759.0,973223.0,2227847638504.0,2.0055696449824e+19,784072.0
2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,11359.400390625,9940989952,250247.0,966769.0,2227847638504.0,1.8693317113106e+19,848037.0
2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,11259.400390625,8873169920,236422.0,953261.0,2460585023618.0,2.1290817074846e+19,750794.0
2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,11171.400390625,9746199552,220304.0,960456.0,2603077300219.0,1.9392159664874e+19,723781.0
2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,11440.7001953125,7583269888,193421.0,939838.0,2603077300219.0,2.0629933647233e+19,778222.0
2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,11786.2998046875,8350360064,213288.0,935922.0,2603077300219.0,1.8958661972783e+19,641321.0
2018-01-29,11755.5,11875.599609375,11179.2001953125,11296.400390625,11296.400390625,7107359744,232028.0,925391.0,2603077300219.0,1.9987215769643e+19,653494.0
2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,10106.2998046875,8637859840,236442.0,901063.0,2603077300219.0,2.1731784189133e+19,707495.0
2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,10221.099609375,8041160192,204159.0,944705.0,2603077300219.0,1.8087432833991e+19,579948.0
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9170.5400390625,9959400448,257504.0,958674.0,2603077300219.0,1.7614756901754e+19,726833.0
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,8830.75,12726899712,235750.0,941242.0,2603077300219.0,2.1809169999327e+19,763496.0
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,9174.91015625,7263790080,194733.0,916645.0,2603077300219.0,2.1109405215282e+19,620918.0
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,8277.009765625,7073549824,173509.0,889806.0,2603077300219.0,2.1016871980311e+19,595294.0
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,6955.27001953125,9285289984,216178.0,899185.0,2603077300219.0,2.4520821702638e+19,777110.0
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,7754.0,13999800320,243950.0,961110.0,2607870187293.0,2.3221901933159e+19,849088.0
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,7621.2998046875,9169280000,213578.0,945530.0,2874674234416.0,2.0576994820576e+19,694798.0
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,8265.58984375,9346750464,173158.0,944714.0,2874674234416.0,2.1028915062819e+19,651284.0
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,8736.98046875,6784820224,177725.0,957285.0,2874674234416.0,1.8360937041376e+19,689413.0
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,8621.900390625,7780960256,181640.0,947466.0,2874674234416.0,1.9006917325142e+19,593126.0
2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,8129.97021484375,6122189824,147057.0,946795.0,2874674234416.0,2.2788321686848e+19,730277.0
2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,8926.5703125,6256439808,186752.0,941726.0,2874674234416.0,2.2272708761809e+19,781308.0
2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,8598.3095703125,5696719872,182820.0,946217.0,2874674234416.0,2.4091160235697e+19,729810.0
2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,9494.6298828125,7909819904,196238.0,940502.0,2874674234416.0,2.3823290493e+19,815887.0
2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,10166.400390625,9062540288,198052.0,945634.0,2874674234416.0,2.1105648119953e+19,640344.0
2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,10233.900390625,7296159744,187581.0,896942.0,2874674234416.0,2.1285807122812e+19,637546.0
2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125,11112.7001953125,8660880384,173640.0,912798.0,2874674234416.0,2.3259660594709e+19,680664.0
2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875,10551.7998046875,8744009728,159333.0,917076.0,2874674234416.0,2.2024104059008e+19,631438.0
2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,11225.2998046875,7652089856,187205.0,937515.0,2874674234416.0,2.2950458188796e+19,688075.0
