Time,BTC daily transaction volume on the chain,Price
2010-05-25,8450.0,0.0
2010-05-26,13712.0,0.0
2010-05-27,11128.47,0.0
2010-05-28,31267.589999999997,0.0
2010-05-29,31670.12,0.0
2010-05-30,22833.64,0.0
2010-05-31,4261.0,0.0
2010-06-01,7292.01,0.0
2010-06-02,9801.97,0.0
2010-06-03,8640.13,0.0
2010-06-04,33218.6,0.0
2010-06-05,3900.0,0.0
2010-06-06,5900.0,0.0
2010-06-07,15103.31,0.0
2010-06-08,25200.8,0.0
2010-06-09,42196.56,0.0
2010-06-10,41259.42,0.0
2010-06-11,27684.71,0.0
2010-06-12,8528.01,0.0
2010-06-13,14760.09,0.0
2010-06-14,42401.020000000004,0.0
2010-06-15,37613.0,0.0
2010-06-16,17455.08,0.0
2010-06-17,22993.99,0.0
2010-06-18,21469.79,0.0
2010-06-19,50382.79,0.0
2010-06-20,28508.010000000002,0.0
2010-06-21,34528.09,0.0
2010-06-22,30019.42,0.0
2010-06-23,40444.22,0.0
2010-06-24,36134.369999999995,0.0
2010-06-25,33545.0,0.0
2010-06-26,26010.0,0.0
2010-06-27,26337.739999999998,0.0
2010-06-28,17555.0,0.0
2010-06-29,60168.79,0.0
2010-06-30,30758.870000000003,0.0
2010-07-01,35680.93,0.0
2010-07-02,34081.91,0.0
2010-07-03,100416.70999999999,0.0
2010-07-04,30961.5,0.0
2010-07-05,49695.0,0.0
2010-07-06,31573.010000000002,0.0
2010-07-07,53222.81,0.0
2010-07-08,11712.0,0.0
2010-07-09,17229.0,0.0
2010-07-10,17673.940000000002,0.0
2010-07-11,27538.8,0.0
2010-07-12,2223321.47,0.0
2010-07-13,562013.66,0.0
2010-07-14,336118.33,0.0
2010-07-15,149894.43,0.0
2010-07-16,92968.51000000001,0.0
2010-07-17,44506.58,0.049510000000000005
2010-07-18,35871.3,0.08584
2010-07-19,39515.549999999996,0.0808
2010-07-20,39910.09,0.07473333333333332
2010-07-21,23568.07,0.07921
2010-07-22,26879.92,0.055945
2010-07-23,41109.56,0.062283333333333336
2010-07-24,32326.39,0.05454
2010-07-25,51357.42,0.0505
2010-07-26,35415.82,0.056
2010-07-27,79500.68,0.059844444444444436
2010-07-28,27030.99,0.0589
2010-07-29,59354.24,0.06920000000000001
2010-07-30,29769.399999999998,0.06428333333333333
2010-07-31,17288.83,0.06785
2010-08-01,263100.85000000003,0.0611
2010-08-02,69900.11,0.06
2010-08-03,20071.27,0.06
2010-08-04,34647.700000000004,0.05795
2010-08-05,49970.54,0.061
2010-08-06,21864.96,0.0621
2010-08-07,25958.989999999998,0.059
2010-08-08,16252.87,0.0609
2010-08-09,28399.010000000002,0.071
2010-08-10,72261.48,0.07
2010-08-11,39376.52,0.067
2010-08-12,39160.74,0.07
2010-08-13,33559.369999999995,0.0645
2010-08-14,18293.2,0.067
2010-08-15,16893.56,0.06529
2010-08-16,31077.35,0.0655
2010-08-17,62548.869999999995,0.07
2010-08-18,54056.82,0.068
2010-08-19,28584.089999999997,0.0667
2010-08-20,25318.15,0.0655
2010-08-21,28658.34,0.0664
2010-08-22,35144.74,0.066
2010-08-23,17769.69,0.06491
2010-08-24,16652.01,0.065
2010-08-25,15712.25,0.0648
2010-08-26,19215.83,0.064
2010-08-27,11388.29,0.065
2010-08-28,33216.0899997,0.0646
2010-08-29,10502.7999918,0.064
2010-08-30,13296.7700008,0.06497
2010-08-31,35941.9899966,0.06
2010-09-01,22187.0100003,0.062300000000000015
2010-09-02,30136.7899971,0.0631
2010-09-03,35160.0000001,0.06085
2010-09-04,26899.44,0.06238
2010-09-05,129561.7,0.0616
2010-09-06,87249.9299984,0.0616
2010-09-07,25610.120000000003,0.061505
2010-09-08,17491.1199983,0.061495
2010-09-09,35798.579998299996,0.06111000000000001
2010-09-10,16724.7199962,0.0618
2010-09-11,5587.54,0.06366000000000001
2010-09-12,20414.2400003,0.0615
2010-09-13,106364.69,0.062179999999999985
2010-09-14,30145.85440538,0.06199
2010-09-15,44841.38039648,0.0604
2010-09-16,27114.32,0.0618
2010-09-17,30570.98,0.05938
2010-09-18,75539.22,0.061
2010-09-19,48642.24,0.0627
2010-09-20,58300.65960352,0.0621
2010-09-21,32742.940000000002,0.06265
2010-09-22,44284.8200001,0.062038
2010-09-23,115636.83,0.06231
2010-09-24,32316.430000000004,0.0622
2010-09-25,23775.21,0.06202000000000001
2010-09-26,25172.15,0.06219
2010-09-27,26316.2,0.0622
2010-09-28,40547.67125764,0.061904999999999995
2010-09-29,138257.74377556,0.06183
2010-09-30,33143.14,0.0619
2010-10-01,68655.35812108,0.06197
2010-10-02,38491.08776615,0.0614
2010-10-03,395616.44776813,0.06111000000000001
2010-10-04,531075.62000109,0.06129
2010-10-05,173180.5,0.0614
2010-10-06,91391.84000129,0.06297666666666668
2010-10-07,182385.1,0.067
2010-10-08,151919.46,0.084925
2010-10-09,159255.96,0.0938
2010-10-10,108598.16,0.0965
2010-10-11,99974.09000109,0.095
2010-10-12,95105.63,0.0949
2010-10-13,83889.51,0.105
2010-10-14,147918.67,0.102
2010-10-15,131170.96,0.105
2010-10-16,165043.96,0.101
2010-10-17,205512.04000109,0.102
2010-10-18,174725.9,0.1024
2010-10-19,252348.68,0.09715
2010-10-20,241570.38,0.099
2010-10-21,155380.08776615,0.107
2010-10-22,178757.12,0.106
2010-10-23,52773.08,0.104995
2010-10-24,71580.01,0.11501
2010-10-25,139508.12,0.132
2010-10-26,174112.43,0.1503
2010-10-27,198572.15,0.1877
2010-10-28,183653.23,0.1731
2010-10-29,118616.25,0.19
2010-10-30,84952.95999999999,0.1989
2010-10-31,50433.07,0.1925
2010-11-01,56404.38,0.1955
2010-11-02,59032.96,0.1938
2010-11-03,50579.65,0.1931
2010-11-04,71946.0,0.23
2010-11-05,125038.61108788,0.2639
2010-11-06,58561.3,0.38
2010-11-07,154956.69,0.34
2010-11-08,221379.53,0.243
2010-11-09,340000.59,0.21
2010-11-10,50748.26,0.2362
2010-11-11,53412.520000000004,0.2231
2010-11-12,34427.22,0.2682
2010-11-13,43446.100000000006,0.276
2010-11-14,20166.829999999998,0.27904
2010-11-15,47170.12,0.2682
2010-11-16,299768.73,0.225
2010-11-17,85656.38,0.24736666666666665
2010-11-18,50687.22,0.2678
2010-11-19,55527.50108788,0.2752
2010-11-20,161343.01,0.283955
2010-11-21,136762.83,0.27675
2010-11-22,32438.100000000002,0.2843
2010-11-23,35519.65,0.28295
2010-11-24,41399.68,0.28299
2010-11-25,50891.07,0.28
2010-11-26,84887.33,0.2844
2010-11-27,32474.12,0.28300000000000003
2010-11-28,27573.600000000002,0.2710819672131145
2010-11-29,20488.99,0.23305
2010-11-30,42598.05,0.2082
2010-12-01,70701.9,0.2275
2010-12-02,39475.16,0.255
2010-12-03,58449.97,0.25105
2010-12-04,51918.7,0.206
2010-12-05,43556.2919751,0.195
2010-12-06,97380.87613296999,0.204
2010-12-07,55491.13129038,0.2366
2010-12-08,55782.73869883,0.2388
2010-12-09,36048.88426916,0.192105
2010-12-10,36162.28264392,0.20385
2010-12-11,71625.9922833,0.228
2010-12-12,40188.33970724,0.22
2010-12-13,113618.42265463,0.2299
2010-12-14,170306.57246867,0.24669
2010-12-15,111222.02966183,0.24
2010-12-16,88576.34754057,0.24996
2010-12-17,65270.120576910005,0.24
2010-12-18,78434.91199996001,0.241
2010-12-19,106312.29112308,0.2401
2010-12-20,69488.9488443,0.267
2010-12-21,79818.44815952,0.24
2010-12-22,112882.54910772,0.25
2010-12-23,70676.93000000001,0.24875250000000002
2010-12-24,62666.24829328,0.248
2010-12-25,93319.14661789,0.2499
2010-12-26,91051.35662182,0.265
2010-12-27,66302.42273407,0.265
2010-12-28,64994.93803671,0.281
2010-12-29,111794.56733583,0.2998
2010-12-30,64392.2749671,0.3
2010-12-31,56958.86335061,0.3
