Time,BTC full node data size,Price
2009-12-27,7.221256,null
2009-12-28,7.25234,null
2009-12-29,7.289428,null
2009-12-30,7.322648,null
2009-12-31,7.352838,null
2010-01-01,7.38022,null
2010-01-02,7.407705,null
2010-01-03,7.441348,null
2010-01-04,7.493475,null
2010-01-05,7.537941,null
2010-01-06,7.572675,null
2010-01-07,7.605448,null
2010-01-08,7.639527,null
2010-01-09,7.671682,null
2010-01-10,7.70945,null
2010-01-11,7.74483,null
2010-01-12,7.78148,null
2010-01-13,7.839802,null
2010-01-14,7.872501,null
2010-01-15,7.905561,null
2010-01-16,7.935932,null
2010-01-17,7.962202,null
2010-01-18,7.990439,null
2010-01-19,8.016722,null
2010-01-20,8.046248,null
2010-01-21,8.087183,null
2010-01-22,8.121577,null
2010-01-23,8.152426,null
2010-01-24,8.185379,null
2010-01-25,8.236681,null
2010-01-26,8.280296,null
2010-01-27,8.32259,null
2010-01-28,8.360946,null
2010-01-29,8.405928,null
2010-01-30,8.447798,null
2010-01-31,8.495207,null
2010-02-01,8.537011,null
2010-02-02,8.56888,null
2010-02-03,8.622391,null
2010-02-04,8.673033,null
2010-02-05,8.759452,null
2010-02-06,8.802206,null
2010-02-07,8.848362,null
2010-02-08,8.912673,null
2010-02-09,8.958068,null
2010-02-10,9.111145,null
2010-02-11,9.150828,null
2010-02-12,9.200002,null
2010-02-13,9.253489,null
2010-02-14,9.313114,null
2010-02-15,9.355337,null
2010-02-16,9.40452,null
2010-02-17,9.454961,null
2010-02-18,9.513902,null
2010-02-19,9.554018,null
2010-02-20,9.605127,null
2010-02-21,9.653882,null
2010-02-22,9.748347,null
2010-02-23,9.802641,null
2010-02-24,9.861129,null
2010-02-25,9.89331,null
2010-02-26,9.948671,null
2010-02-27,9.986245,null
2010-02-28,10.034539,null
2010-03-01,10.073793,null
2010-03-02,10.124539,null
2010-03-03,10.158595,null
2010-03-04,10.208475,null
2010-03-05,10.293972,null
2010-03-06,10.343226,null
2010-03-07,10.38875,null
2010-03-08,10.444114,null
2010-03-09,10.486945,null
2010-03-10,10.519802,null
2010-03-11,10.561919,null
2010-03-12,10.589478,null
2010-03-13,10.626878,null
2010-03-14,10.655476,null
2010-03-15,10.68473,null
2010-03-16,10.713671,null
2010-03-17,10.745334,null
2010-03-18,10.780376,null
2010-03-19,10.829938,null
2010-03-20,10.879711,null
2010-03-21,10.923339,null
2010-03-22,10.966532,null
2010-03-23,11.018331,null
2010-03-24,11.060699,null
2010-03-25,11.105121,null
2010-03-26,11.19096,null
2010-03-27,11.233452,null
2010-03-28,11.279531,null
2010-03-29,11.324265,null
2010-03-30,11.375647,null
2010-03-31,11.424209,null
2010-04-01,11.467804,null
2010-04-02,11.503775,null
2010-04-03,11.544575,null
2010-04-04,11.584562,null
2010-04-05,11.630301,null
2010-04-06,11.686647,null
2010-04-07,11.740346,null
2010-04-08,11.786689,null
2010-04-09,11.836895,null
2010-04-10,11.93648,null
2010-04-11,12.002474,null
2010-04-12,12.077119,null
2010-04-13,12.126799,null
2010-04-14,12.184799,null
2010-04-15,12.250618,null
2010-04-16,12.383925,null
2010-04-17,12.447085,null
2010-04-18,12.532275,null
2010-04-19,13.404429,null
2010-04-20,13.497927,null
2010-04-21,13.555653,null
2010-04-22,13.615479,null
2010-04-23,13.659052,null
2010-04-24,13.716765,null
2010-04-25,13.772216,null
2010-04-26,13.832437,null
2010-04-27,13.884682,null
2010-04-28,13.941121,null
2010-04-29,13.988179,null
2010-04-30,14.030848,null
2010-05-01,14.073378,null
2010-05-02,14.118822,null
2010-05-03,14.168973,null
2010-05-04,14.209572,null
2010-05-05,14.279285,null
2010-05-06,14.32924,null
2010-05-07,14.39039,null
2010-05-08,14.429058,null
2010-05-09,14.505935,null
2010-05-10,14.549982,null
2010-05-11,14.585846,null
2010-05-12,14.623107,null
2010-05-13,14.668542,null
2010-05-14,14.711185,null
2010-05-15,15.069462,null
2010-05-16,15.099174,null
2010-05-17,15.144953,null
2010-05-18,15.196927,null
2010-05-19,15.254783,null
2010-05-20,15.311356,null
2010-05-21,15.366166,null
2010-05-22,15.428516,null
2010-05-23,15.529185,null
2010-05-24,15.594601,null
2010-05-25,15.660682,null
2010-05-26,15.729256,null
2010-05-27,15.800407,null
2010-05-28,15.861611,null
2010-05-29,15.932445,null
2010-05-30,15.984657,null
