Time,BTC number of daily transactions on the chain,Price
2010-05-07,173,null
2010-05-08,165,null
2010-05-09,193,null
2010-05-10,168,null
2010-05-11,134,null
2010-05-12,150,null
2010-05-13,153,null
2010-05-14,158,null
2010-05-15,139,null
2010-05-16,118,null
2010-05-17,168,null
2010-05-18,212,null
2010-05-19,203,null
2010-05-20,235,null
2010-05-21,228,null
2010-05-22,225,null
2010-05-23,294,null
2010-05-24,262,null
2010-05-25,266,null
2010-05-26,266,null
2010-05-27,267,null
2010-05-28,264,null
2010-05-29,280,null
2010-05-30,202,null
2010-05-31,193,null
2010-06-01,181,null
2010-06-02,187,null
2010-06-03,204,null
2010-06-04,218,null
2010-06-05,182,null
2010-06-06,204,null
2010-06-07,196,null
2010-06-08,226,null
2010-06-09,211,null
2010-06-10,211,null
2010-06-11,246,null
2010-06-12,229,null
2010-06-13,222,null
2010-06-14,245,null
2010-06-15,281,null
2010-06-16,215,null
2010-06-17,192,null
2010-06-18,196,null
2010-06-19,217,null
2010-06-20,214,null
2010-06-21,238,null
2010-06-22,237,null
2010-06-23,243,null
2010-06-24,243,null
2010-06-25,242,null
2010-06-26,201,null
2010-06-27,213,null
2010-06-28,222,null
2010-06-29,265,null
2010-06-30,268,null
2010-07-01,269,null
2010-07-02,256,null
2010-07-03,285,null
2010-07-04,245,null
2010-07-05,237,null
2010-07-06,236,null
2010-07-07,209,null
2010-07-08,227,null
2010-07-09,264,null
2010-07-10,233,null
2010-07-11,244,null
2010-07-12,1614,null
2010-07-13,1865,null
2010-07-14,2499,null
2010-07-15,4942,null
2010-07-16,1398,null
2010-07-17,540,0.049510000000000005
2010-07-18,437,0.08584
2010-07-19,469,0.0808
2010-07-20,641,0.07473333333333332
2010-07-21,455,0.07921
2010-07-22,431,0.055945
2010-07-23,396,0.062283333333333336
2010-07-24,375,0.05454
2010-07-25,2340,0.0505
2010-07-26,451,0.056
2010-07-27,439,0.059844444444444436
2010-07-28,372,0.0589
2010-07-29,3455,0.06920000000000001
2010-07-30,367,0.06428333333333333
2010-07-31,283,0.06785
2010-08-01,326,0.0611
2010-08-02,404,0.06
2010-08-03,563,0.06
2010-08-04,437,0.05795
2010-08-05,606,0.061
2010-08-06,382,0.0621
2010-08-07,292,0.059
2010-08-08,320,0.0609
2010-08-09,405,0.071
2010-08-10,415,0.07
2010-08-11,376,0.067
2010-08-12,397,0.07
2010-08-13,520,0.0645
2010-08-14,403,0.067
2010-08-15,455,0.06529
2010-08-16,284,0.0655
2010-08-17,378,0.07
2010-08-18,361,0.068
2010-08-19,378,0.0667
2010-08-20,411,0.0655
2010-08-21,351,0.0664
2010-08-22,331,0.066
2010-08-23,388,0.06491
2010-08-24,337,0.065
2010-08-25,401,0.0648
2010-08-26,365,0.064
2010-08-27,307,0.065
2010-08-28,347,0.0646
2010-08-29,269,0.064
2010-08-30,284,0.06497
2010-08-31,449,0.06
2010-09-01,422,0.062300000000000015
2010-09-02,324,0.0631
2010-09-03,301,0.06085
2010-09-04,285,0.06238
2010-09-05,314,0.0616
2010-09-06,290,0.0616
2010-09-07,271,0.061505
2010-09-08,290,0.061495
2010-09-09,359,0.06111000000000001
2010-09-10,369,0.0618
2010-09-11,300,0.06366000000000001
2010-09-12,337,0.0615
2010-09-13,442,0.062179999999999985
2010-09-14,429,0.06199
2010-09-15,438,0.0604
2010-09-16,397,0.0618
2010-09-17,372,0.05938
2010-09-18,429,0.061
2010-09-19,337,0.0627
2010-09-20,423,0.0621
2010-09-21,574,0.06265
2010-09-22,848,0.062038
2010-09-23,697,0.06231
2010-09-24,561,0.0622
2010-09-25,408,0.06202000000000001
2010-09-26,504,0.06219
2010-09-27,645,0.0622
2010-09-28,469,0.061904999999999995
2010-09-29,986,0.06183
2010-09-30,366,0.0619
2010-10-01,558,0.06197
2010-10-02,511,0.0614
2010-10-03,403,0.06111000000000001
2010-10-04,400,0.06129
2010-10-05,365,0.0614
2010-10-06,398,0.06297666666666668
2010-10-07,381,0.067
2010-10-08,335,0.084925
2010-10-09,380,0.0938
2010-10-10,375,0.0965
2010-10-11,354,0.095
2010-10-12,362,0.0949
2010-10-13,350,0.105
2010-10-14,371,0.102
2010-10-15,325,0.105
2010-10-16,402,0.101
2010-10-17,502,0.102
2010-10-18,492,0.1024
2010-10-19,956,0.09715
2010-10-20,729,0.099
2010-10-21,594,0.107
2010-10-22,510,0.106
2010-10-23,632,0.104995
2010-10-24,442,0.11501
2010-10-25,495,0.132
2010-10-26,477,0.1503
2010-10-27,555,0.1877
2010-10-28,522,0.1731
2010-10-29,474,0.19
2010-10-30,445,0.1989
