Time,BTC average daily block size,Price
2009-07-08,215.9493670886076,null
2009-07-09,215.74074074074073,null
2009-07-10,215.88095238095238,null
2009-07-11,215.93827160493828,null
2009-07-12,215.87012987012986,null
2009-07-13,215.8860759493671,null
2009-07-14,215.92857142857142,null
2009-07-15,215.9375,null
2009-07-16,215.97014925373134,null
2009-07-17,215.75714285714287,null
2009-07-18,215.5,null
2009-07-19,215.75,null
2009-07-20,215.85333333333332,null
2009-07-21,401.4533333333333,null
2009-07-22,215.61971830985917,null
2009-07-23,215.453125,null
2009-07-24,215.8815789473684,null
2009-07-25,215.91666666666666,null
2009-07-26,215.55555555555554,null
2009-07-27,215.8,null
2009-07-28,215.7843137254902,null
2009-07-29,215.73333333333332,null
2009-07-30,236.69230769230768,null
2009-07-31,233.6153846153846,null
2009-08-01,215.72,null
2009-08-02,215.82142857142858,null
2009-08-03,215.52941176470588,null
2009-08-04,215.55769230769232,null
2009-08-05,215.7826086956522,null
2009-08-06,215.81052631578947,null
2009-08-07,215.97222222222223,null
2009-08-08,369.71084337349396,null
2009-08-09,215.95876288659792,null
2009-08-10,216.0,null
2009-08-11,215.92753623188406,null
2009-08-12,215.75714285714287,null
2009-08-13,215.6172839506173,null
2009-08-14,215.859375,null
2009-08-15,215.5897435897436,null
2009-08-16,215.42857142857142,null
2009-08-17,215.76190476190476,null
2009-08-18,215.9,null
2009-08-19,215.53846153846155,null
2009-08-20,215.29166666666666,null
2009-08-21,215.0,null
2009-08-22,215.0,null
2009-08-23,215.5,null
2009-08-24,215.125,null
2009-08-25,215.50980392156862,null
2009-08-26,215.85,null
2009-08-27,407.56666666666666,null
2009-08-28,215.640625,null
2009-08-29,215.7764705882353,null
2009-08-30,217.73809523809524,null
2009-08-31,223.43157894736842,null
2009-09-01,215.80722891566265,null
2009-09-02,215.83076923076922,null
2009-09-03,242.0,null
2009-09-04,215.70689655172413,null
2009-09-05,215.87671232876713,null
2009-09-06,215.7972972972973,null
2009-09-07,235.47435897435898,null
2009-09-08,215.77611940298507,null
2009-09-09,215.80357142857142,null
2009-09-10,215.82539682539684,null
2009-09-11,215.7910447761194,null
2009-09-12,215.8235294117647,null
2009-09-13,215.84722222222223,null
2009-09-14,215.875,null
2009-09-15,215.85714285714286,null
2009-09-16,219.90740740740742,null
2009-09-17,215.7,null
2009-09-18,352.6470588235294,null
2009-09-19,215.97101449275362,null
2009-09-20,215.97402597402598,null
2009-09-21,215.97402597402598,null
2009-09-22,240.81578947368422,null
2009-09-23,415.82608695652175,null
