Time,LTC number of daily transactions on the chain,Price
2017-01-12,4605,3.96280217
2017-01-13,4081,3.89086986
2017-01-14,4401,3.90053368
2017-01-15,3867,3.92583799
2017-01-16,4175,3.9025383
2017-01-17,4061,3.93904877
2017-01-18,3987,3.83819938
2017-01-19,5366,3.86060715
2017-01-20,4683,3.89001441
2017-01-21,4305,3.90451455
2017-01-22,3973,3.84293866
2017-01-23,3433,3.83576155
2017-01-24,3718,3.78609848
2017-01-25,3409,3.71453118
2017-01-26,3004,3.83432293
2017-01-27,2923,3.85588098
2017-01-28,3116,3.85295272
2017-01-29,3010,3.85210395
2017-01-30,3716,4.02124977
2017-01-31,4513,4.07864475
2017-02-01,3288,4.07532597
2017-02-02,3050,4.08526659
2017-02-03,3412,4.08256483
2017-02-04,3411,4.05800104
2017-02-05,3615,4.04291534
2017-02-06,4222,4.0440135
2017-02-07,3939,4.04037094
2017-02-08,4543,4.0231719
2017-02-09,4774,3.79858923
2017-02-10,3589,3.77721047
2017-02-11,3539,3.79310322
2017-02-12,2947,3.7643683
2017-02-13,2845,3.71789074
2017-02-14,2962,3.77080464
2017-02-15,3780,3.80927777
2017-02-16,3102,3.78681469
2017-02-17,3179,3.83036399
2017-02-18,3062,3.79103303
2017-02-19,3418,3.76225567
2017-02-20,3519,3.76765895
2017-02-21,3338,3.78327823
2017-02-22,2956,3.80522251
2017-02-23,3362,3.84294987
2017-02-24,3317,3.84671879
2017-02-25,3278,3.82610703
2017-02-26,3458,3.82671547
2017-02-27,3656,3.80273581
2017-02-28,3254,3.77098918
2017-03-01,3251,3.79889679
2017-03-02,3277,3.92422605
2017-03-03,3984,3.92081809
2017-03-04,2880,3.88399529
2017-03-05,3173,3.90155983
2017-03-06,2963,3.92140126
2017-03-07,3033,3.82147932
2017-03-08,3213,3.77599907
2017-03-09,3040,3.83841848
2017-03-10,2824,3.75216579
2017-03-11,3403,3.79800439
2017-03-12,3644,3.84257078
2017-03-13,3462,4.17054129
2017-03-14,3521,4.05518866
2017-03-15,3248,4.16086531
2017-03-16,4014,4.23709679
2017-03-17,4432,4.0550971
2017-03-18,4306,3.967623
2017-03-19,4607,3.95641303
2017-03-20,3691,4.03331184
2017-03-21,3796,4.00921869
2017-03-22,3684,3.93649292
2017-03-23,4459,3.98003435
2017-03-24,3901,4.08396292
2017-03-25,4633,4.07061625
2017-03-26,4452,4.06074333
2017-03-27,3871,4.07528114
2017-03-28,4006,4.15568256
2017-03-29,4391,4.18590355
2017-03-30,9546,6.98063469
2017-03-31,9060,6.66706467
2017-04-01,6317,6.88352346
2017-04-02,6408,7.74450445
2017-04-03,9661,8.07057571
2017-04-04,7792,8.28936291
2017-04-05,7342,11.09402084
2017-04-06,11250,10.25171089
2017-04-07,7405,9.37155533
2017-04-08,6231,9.91621113
2017-04-09,6556,8.70984745
2017-04-10,7606,8.91704178
2017-04-11,6781,8.85383415
2017-04-12,8882,10.78556919
2017-04-13,6040,10.14949036
2017-04-14,5224,10.38996601
2017-04-15,5859,10.79460716
2017-04-16,5015,10.71490383
2017-04-17,5451,10.42162609
2017-04-18,6399,10.320117
2017-04-19,5952,9.65807724
2017-04-20,5851,10.33494186
2017-04-21,5987,11.22781181
2017-04-22,8053,13.06460762
2017-04-23,10824,13.93907547
2017-04-24,8174,14.96547031
2017-04-25,7644,15.21284771
2017-04-26,8002,14.84811115
2017-04-27,7739,14.62202168
2017-04-28,6910,14.34145164
2017-04-29,6517,15.74213505
2017-04-30,6590,15.70559883
2017-05-01,6732,15.91765881
2017-05-02,7296,15.89496899
2017-05-03,8332,21.04263878
2017-05-04,16186,23.39364052
2017-05-05,14934,26.26694489
2017-05-06,10423,28.15984917
2017-05-07,12339,30.29107475
2017-05-08,12503,28.9582119
2017-05-09,13115,33.58295059
2017-05-10,17516,31.9621048
2017-05-11,14599,30.71772194
2017-05-12,11395,27.45493889
2017-05-13,9785,28.91196632
2017-05-14,8774,28.89299583
2017-05-15,9964,25.36532593
2017-05-16,13565,23.32772446
2017-05-17,13057,25.40439415
2017-05-18,10995,28.35764885
2017-05-19,12585,27.69753456
2017-05-20,12254,27.50601196
2017-05-21,12347,26.29817772
2017-05-22,16633,25.38098145
2017-05-23,15512,32.11205673
2017-05-24,16375,34.4533577
2017-05-25,17523,29.90024185
2017-05-26,14052,23.7482605
2017-05-27,13476,23.73534393
2017-05-28,10483,24.22057533
2017-05-29,9015,25.21245193
2017-05-30,11054,24.14204216
2017-05-31,12165,25.29756927
2017-06-01,15829,28.80344772
2017-06-02,14902,28.9447422
2017-06-03,13953,27.66099167
2017-06-04,13072,27.93934631
2017-06-05,13783,30.84333038
2017-06-06,16859,30.55104256
2017-06-07,15680,28.39466286
2017-06-08,13960,30.21192169
2017-06-09,14653,29.68163109
2017-06-10,14970,30.44167519
2017-06-11,16451,33.21625137
2017-06-12,18077,29.5035305
2017-06-13,15862,30.64292526
2017-06-14,16848,30.22468376
2017-06-15,17331,30.22007751
2017-06-16,17487,35.70049286
2017-06-17,24346,47.64590073
2017-06-18,24272,46.04160309
2017-06-19,21663,50.32087326
2017-06-20,23804,47.21638489
2017-06-21,20949,47.78752136
2017-06-22,19766,47.71292877
2017-06-23,18030,47.33549881
2017-06-24,16283,44.49179077
2017-06-25,14457,43.924366
2017-06-26,17445,41.13184357
2017-06-27,19510,40.54148865
2017-06-28,17458,42.84949493
2017-06-29,15710,41.06526947
2017-06-30,14218,40.35433197
2017-07-01,13054,38.98817062
2017-07-02,12763,41.56764603
2017-07-03,19843,46.42517853
2017-07-04,21710,55.33437347
2017-07-05,24498,53.19451523
2017-07-06,19286,51.1303215
2017-07-07,19278,46.57552719
2017-07-08,19041,52.13852692
2017-07-09,15574,49.58053589
2017-07-10,17618,46.57640457
2017-07-11,21889,45.33076477
2017-07-12,18441,48.75123978
2017-07-13,18390,46.32778168
2017-07-14,17794,42.8026619
2017-07-15,20419,38.92386627
2017-07-16,19570,40.91286087
2017-07-17,20033,42.66966629
2017-07-18,20097,44.30243683
2017-07-19,21701,40.86441803
2017-07-20,17746,45.01573944
2017-07-21,22970,45.76303482
2017-07-22,16199,46.55832291
2017-07-23,18568,44.0558815
2017-07-24,17419,44.40550232
2017-07-25,19245,42.24129486
2017-07-26,18189,42.22967911
2017-07-27,16910,42.13980865
2017-07-28,19220,40.61458588
2017-07-29,16482,41.11550522
2017-07-30,15108,40.42198563
2017-07-31,17404,43.02272415
2017-08-01,17962,43.03626251
2017-08-02,19510,42.13222504
2017-08-03,18274,42.86149979
2017-08-04,20549,43.44973755
2017-08-05,19950,46.85902023
2017-08-06,19458,45.10300446
2017-08-07,20263,45.79546738
2017-08-08,20303,48.63189697
2017-08-09,22971,48.0118866
2017-08-10,19172,46.49975586
2017-08-11,26575,47.09937668
2017-08-12,21454,46.43390656
2017-08-13,21208,45.81278229
2017-08-14,19327,45.80452728
2017-08-15,23461,43.30649567
2017-08-16,20556,44.15123749
2017-08-17,19982,43.91458511
2017-08-18,22575,47.28138733
2017-08-19,20749,45.47995377
2017-08-20,17501,46.23097992
2017-08-21,19093,47.9360466
2017-08-22,20718,46.72713852
2017-08-23,19309,53.24814224
2017-08-24,32490,50.18563843
2017-08-25,22629,51.17683792
2017-08-26,19221,51.74957275
2017-08-27,23814,61.15875626
2017-08-28,29621,62.35548401
2017-08-29,27562,63.16698074
2017-08-30,26161,64.16929626
2017-08-31,26091,71.05514526
2017-09-01,39005,86.03970337
2017-09-02,43140,79.02426147
2017-09-03,23894,76.8429718
2017-09-04,28851,65.20581055
2017-09-05,33989,71.29477692
2017-09-06,29498,80.11431122
2017-09-07,27673,78.48433685
2017-09-08,26747,67.79475403
2017-09-09,27314,66.00912476
2017-09-10,24088,61.61347198
2017-09-11,23078,66.03990173
2017-09-12,24417,64.23365021
2017-09-13,25838,61.73005676
2017-09-14,30188,41.58491135
2017-09-15,44047,48.2126236
2017-09-16,32966,48.25833893
2017-09-17,22941,48.49020386
2017-09-18,27748,55.52535248
2017-09-19,27467,52.83527374
2017-09-20,25187,51.73378754
2017-09-21,24864,46.60575485
2017-09-22,25439,48.09026718
2017-09-23,20823,49.27156448
2017-09-24,17593,47.61825562
2017-09-25,19436,51.58014297
2017-09-26,22600,51.54675293
2017-09-27,21303,56.28308487
2017-09-28,23835,54.08522415
2017-09-29,21639,52.62303543
2017-09-30,19663,55.1423645
2017-10-01,17946,54.54334641
2017-10-02,20150,53.37601852
2017-10-03,20574,52.34958267
2017-10-04,19524,51.39951324
2017-10-05,19677,51.66946411
2017-10-06,20926,52.12013245
2017-10-07,20069,52.58395767
2017-10-08,18965,53.14263153
2017-10-09,21560,50.16396332
2017-10-10,24424,50.71709442
2017-10-11,21747,50.88754272
2017-10-12,24649,60.10764313
2017-10-13,34294,59.4289093
2017-10-14,25364,63.95017242
2017-10-15,26351,65.46742249
2017-10-16,25128,64.62187195
2017-10-17,28177,59.4789505
2017-10-18,27349,60.73080444
2017-10-19,26594,59.73968124
2017-10-20,24501,60.33055496
2017-10-21,26976,58.20179367
2017-10-22,21930,56.8079071
2017-10-23,26381,54.92017365
2017-10-24,33727,55.96318054
2017-10-25,25718,56.49428558
2017-10-26,25924,55.737957
2017-10-27,26472,55.33243942
2017-10-28,23380,54.69387054
2017-10-29,22580,57.10644531
2017-10-30,27680,56.39052963
2017-10-31,21776,55.75408554
2017-11-01,23174,53.18083954
2017-11-02,28196,54.73730087
2017-11-03,25696,56.18139267
2017-11-04,21868,55.03720856
2017-11-05,18181,54.74637985
2017-11-06,20518,55.17365646
2017-11-07,23315,61.29523849
2017-11-08,28933,62.5731163
2017-11-09,30720,64.26966095
2017-11-10,30388,59.26007462
2017-11-11,28000,62.30333328
2017-11-12,34455,59.00538254
2017-11-13,28195,61.39647675
2017-11-14,25225,62.67958069
2017-11-15,26044,63.82357788
2017-11-16,26878,71.06015015
2017-11-17,34945,67.56903076
2017-11-18,26623,69.6437149
2017-11-19,23410,71.58931732
2017-11-20,27629,72.25279999
2017-11-21,31903,70.02825928
2017-11-22,28788,71.89281464
2017-11-23,30992,73.22336578
2017-11-24,28926,77.96832275
2017-11-25,32703,88.81685638
2017-11-26,34085,85.92675781
2017-11-27,38177,91.60268402
2017-11-28,42565,96.03376007
2017-11-29,53211,85.57095337
2017-11-30,47663,88.33073425
2017-12-01,40992,99.00370789
2017-12-02,43206,100.28351593
2017-12-03,36235,101.26288605
2017-12-04,43889,104.23574066
2017-12-05,50478,102.39687347
2017-12-06,68062,100.35223389
2017-12-07,65965,98.29242706
2017-12-08,64690,124.84622192
2017-12-09,86411,155.24224854
2017-12-10,58286,148.66029358
2017-12-11,61084,214.20277405
2017-12-12,132091,316.15936279
2017-12-13,149733,302.60223389
2017-12-14,135215,279.32757568
2017-12-15,135861,299.77890015
2017-12-16,105873,298.972229
2017-12-17,112868,318.7192688
2017-12-18,103527,358.33560181
2017-12-19,133905,350.25265503
2017-12-20,145568,314.6211853
2017-12-21,155226,317.46160889
2017-12-22,161216,264.93188477
2017-12-23,120284,288.26568604
2017-12-24,101465,275.97991943
2017-12-25,75877,273.38989258
2017-12-26,78206,286.50396729
2017-12-27,102228,272.17391968
2017-12-28,111907,249.93048096
2017-12-29,130928,245.50190735
2017-12-30,170603,218.96333313
2017-12-31,112485,232.09605408
2018-01-01,84112,229.03265381
2018-01-02,110296,255.68389893
2018-01-03,157472,245.36801147
2018-01-04,222626,241.36987305
2018-01-05,207769,249.27061462
2018-01-06,187536,296.4541626
2018-01-07,152840,288.45059204
2018-01-08,144759,255.76348877
2018-01-09,148918,247.03656006
2018-01-10,149042,250.51753235
2018-01-11,124746,229.36582947
2018-01-12,112223,236.85592651
2018-01-13,102511,259.19293213
2018-01-14,89245,238.675354
2018-01-15,86205,232.77392578
2018-01-16,105050,188.33052063
2018-01-17,114634,186.51567078
2018-01-18,110252,192.8367157
2018-01-19,78594,192.96372986
2018-01-20,67769,211.01791382
2018-01-21,59261,190.42089844
2018-01-22,58916,180.00779724
2018-01-23,63187,177.80709839
2018-01-24,60100,179.98675537
2018-01-25,61058,180.27238464
2018-01-26,61222,176.73376465
2018-01-27,51744,180.8855896
2018-01-28,50159,193.86517334
2018-01-29,52531,181.66374207
2018-01-30,52222,165.27568054
2018-01-31,58366,163.35067749
2018-02-01,53383,142.29734802
2018-02-02,70561,131.37886047
2018-02-03,52545,160.25027466
2018-02-04,47854,148.0249939
2018-02-05,45702,125.33000183
2018-02-06,61220,142.99075317
2018-02-07,54703,138.20275879
2018-02-08,42426,149.4662323
2018-02-09,40032,163.94987488
2018-02-10,50467,155.59309387
2018-02-11,38216,148.9903717
2018-02-12,39049,161.5657959
2018-02-13,42506,159.55366516
2018-02-14,56917,213.35919189
2018-02-15,63271,225.42602539
2018-02-16,56804,230.12406921
2018-02-17,59355,229.46470642
2018-02-18,65378,215.73602295
2018-02-19,72322,223.05722046
2018-02-20,58445,232.85058594
2018-02-21,52232,213.35165405
2018-02-22,44921,195.30804443
2018-02-23,43136,209.30857849
2018-02-24,39468,209.42205811
2018-02-25,35104,220.47496033
2018-02-26,41829,220.96203613
2018-02-27,43101,216.59889221
2018-02-28,49067,202.89456177
2018-03-01,76794,209.75010681
2018-03-02,41639,212.55561829
2018-03-03,36875,210.64260864
2018-03-04,32146,213.79911804
2018-03-05,36716,211.17532349
2018-03-06,37333,196.60105896
2018-03-07,36602,185.83920288
2018-03-08,40060,176.51057434
2018-03-09,40501,187.16818237
2018-03-10,34656,177.73243713
2018-03-11,28851,188.94561768
2018-03-12,30580,178.23370361
2018-03-13,31573,175.7815094
2018-03-14,32145,161.1005249
2018-03-15,37350,164.47570801
2018-03-16,32934,165.44984436
2018-03-17,29538,152.96885681
2018-03-18,31126,154.07441711
2018-03-19,32671,161.14227295
2018-03-20,31775,168.81692505
2018-03-21,32627,169.051651
2018-03-22,29088,163.671875
2018-03-23,27949,167.83248901
2018-03-24,28381,159.63134766
2018-03-25,23951,160.08357239
2018-03-26,27072,149.22071838
2018-03-27,31152,135.77914429
2018-03-28,29407,131.74746704
2018-03-29,31182,114.6789856
2018-03-30,31057,118.59764862
2018-03-31,26555,116.60714722
2018-04-01,23209,115.22244263
2018-04-02,23738,119.30571747
2018-04-03,27738,134.4697113
2018-04-04,29159,118.41205597
2018-04-05,26769,119.13056946
2018-04-06,27447,113.15540314
2018-04-07,24048,116.25991821
2018-04-08,21368,117.67070007
2018-04-09,24659,114.99025726
2018-04-10,25950,114.2631073
2018-04-11,27739,118.29071045
2018-04-12,31431,129.33460999
2018-04-13,34116,125.35400391
2018-04-14,28039,126.29407501
2018-04-15,24753,132.04464722
2018-04-16,27387,128.33465576
2018-04-17,29892,132.92796326
2018-04-18,28902,139.99690247
2018-04-19,30365,146.29951477
2018-04-20,33287,155.53742981
2018-04-21,31442,148.93365479
2018-04-22,25897,146.77403259
2018-04-23,29324,152.25152588
2018-04-24,34695,165.78063965
2018-04-25,36810,144.76379395
2018-04-26,30811,153.67900085
2018-04-27,31264,145.90524292
2018-04-28,30025,152.29574585
2018-04-29,29376,153.63117981
2018-04-30,31767,148.47686768
2018-05-01,31533,148.48783875
2018-05-02,32040,151.57743835
2018-05-03,35382,161.45916748
2018-05-04,37470,168.78752136
2018-05-05,34557,177.76191711
2018-05-06,30523,171.8000946
2018-05-07,30531,164.87931824
2018-05-08,32219,159.61653137
2018-05-09,31083,157.05522156
2018-05-10,32400,149.86882019
2018-05-11,33848,137.11721802
2018-05-12,31640,141.88166809
2018-05-13,26695,144.58836365
2018-05-14,31106,147.71366882
2018-05-15,33072,139.8802948
2018-05-16,31915,139.26834106
2018-05-17,31459,132.77279663
2018-05-18,31455,136.0566864
2018-05-19,28950,135.32019043
2018-05-20,25638,139.69790649
2018-05-21,29924,134.50915527
2018-05-22,32181,128.67610168
2018-05-23,33461,119.31352234
2018-05-24,33727,122.61277008
2018-05-25,30374,119.44171143
2018-05-26,24109,118.27654266
2018-05-27,21592,117.99217987
2018-05-28,24379,111.59846497
2018-05-29,26790,119.56789398
2018-05-30,26299,117.53327179
2018-05-31,26856,118.07437134
2018-06-01,27011,119.91481018
2018-06-02,23903,123.30738068
2018-06-03,22747,125.21059418
2018-06-04,23980,119.9028244
2018-06-05,25519,121.7009201
2018-06-06,26041,121.18291473
2018-06-07,25326,121.42565918
2018-06-08,25012,120.08380127
2018-06-09,22846,117.74104309
2018-06-10,22081,107.0436554
2018-06-11,28933,107.51566315
2018-06-12,26477,100.75189209
2018-06-13,27838,94.07556152
2018-06-14,27838,101.15432739
2018-06-15,25317,96.67602539
2018-06-16,21400,97.5769577
2018-06-17,19230,96.10256195
2018-06-18,20927,98.81898499
2018-06-19,24875,98.83772278
2018-06-20,23580,97.99350739
2018-06-21,24355,96.92549896
2018-06-22,26393,85.07587433
2018-06-23,24848,82.60365295
2018-06-24,22504,80.77709198
2018-06-25,24039,81.83342743
2018-06-26,23666,76.86671448
2018-06-27,25031,80.65969086
2018-06-28,24796,74.92980194
2018-06-29,26046,78.76889801
2018-06-30,27075,81.37400055
2018-07-01,20533,80.24289703
2018-07-02,22752,85.25710297
2018-07-03,26372,85.1013031
2018-07-04,24165,85.4940033
2018-07-05,24614,83.76000214
2018-07-06,23577,83.37809753
2018-07-07,24382,86.20189667
2018-07-08,23725,82.39600372
2018-07-09,24938,80.85759735
2018-07-10,26563,76.08350372
2018-07-11,24522,78.69989777
2018-07-12,24527,76.80860138
2018-07-13,23099,76.94249725
2018-07-14,22352,76.72239685
2018-07-15,20360,78.93900299
2018-07-16,24083,84.59590149
2018-07-17,25551,89.80609894
2018-07-18,28931,86.96209717
2018-07-19,25983,86.66770172
2018-07-20,26252,82.75460052
2018-07-21,23337,84.46389771
2018-07-22,19948,83.15619659
2018-07-23,24106,82.43319702
2018-07-24,27534,89.28520203
2018-07-25,27368,86.28170013
2018-07-26,25917,84.02749634
2018-07-27,24783,84.46360016
2018-07-28,22804,83.62400055
2018-07-29,20639,84.08409882
2018-07-30,23574,82.84992218
2018-07-31,26785,79.70233917
2018-08-01,26104,77.85562134
2018-08-02,25852,76.13884735
2018-08-03,26655,77.53546906
2018-08-04,25459,73.19874573
2018-08-05,21440,74.58943176
2018-08-06,24215,73.88834381
2018-08-07,27140,68.17033386
2018-08-08,30398,62.49041748
2018-08-09,30370,63.98079681
2018-08-10,28383,59.39398193
2018-08-11,28612,58.35907364
2018-08-12,23233,59.32814026
2018-08-13,25926,56.84819412
2018-08-14,32306,54.55944061
2018-08-15,30181,54.50038528
2018-08-16,28914,55.36187363
2018-08-17,29467,61.51442719
2018-08-18,28887,57.27571106
2018-08-19,23390,57.93895721
2018-08-20,25898,53.99618149
2018-08-21,25592,56.35017776
2018-08-22,25842,55.3186264
2018-08-23,25599,57.54343414
2018-08-24,26568,57.9297905
2018-08-25,24741,57.90793991
2018-08-26,22356,57.33408737
2018-08-27,23979,60.24992752
2018-08-28,26791,63.02436447
2018-08-29,27210,61.76724243
2018-08-30,25617,60.31515121
2018-08-31,27005,61.92552185
2018-09-01,28913,65.9509964
2018-09-02,26595,65.64940643
2018-09-03,34045,65.37324524
2018-09-04,69168,67.70993042
2018-09-05,29197,58.43767166
2018-09-06,30705,57.48624039
2018-09-07,27771,56.19777679
2018-09-08,27522,53.24457932
2018-09-09,26185,54.92422104
2018-09-10,27471,54.59576797
2018-09-11,28729,52.36729431
2018-09-12,29738,51.65664291
2018-09-13,28199,54.53636551
2018-09-14,26922,56.57648468
2018-09-15,26965,56.71314621
2018-09-16,23389,56.97270584
2018-09-17,25396,52.54053879
2018-09-18,27064,54.09716034
2018-09-19,25612,54.33453369
2018-09-20,27031,56.63444901
2018-09-21,32384,60.72281265
2018-09-22,30509,60.43655396
2018-09-23,26633,61.36636734
2018-09-24,27777,57.9691391
2018-09-25,28527,57.53763962
2018-09-26,29296,57.39550781
2018-09-27,30759,62.97942352
2018-09-28,31912,61.89505005
2018-09-29,29385,61.60691452
2018-09-30,26386,61.141922
2018-10-01,27913,60.20808411
2018-10-02,29087,59.70538712
2018-10-03,28377,57.47750092
2018-10-04,25919,58.27949142
2018-10-05,24987,58.76616669
2018-10-06,26984,57.84413528
2018-10-07,23135,58.16029739
2018-10-08,23228,59.41261292
2018-10-09,23810,58.71328735
2018-10-10,23107,57.98184967
2018-10-11,27327,51.23303223
2018-10-12,26064,53.55169296
2018-10-13,25206,53.45175171
2018-10-14,21520,52.18744278
2018-10-15,24530,54.87961578
2018-10-16,26324,54.06818771
2018-10-17,27111,53.67214584
2018-10-18,29079,52.52694702
2018-10-19,27584,53.02005768
2018-10-20,27208,53.3628006
2018-10-21,21907,52.91576767
2018-10-22,23089,52.20391464
2018-10-23,25822,52.54134369
2018-10-24,24604,52.51504898
2018-10-25,23301,52.23455811
2018-10-26,24425,52.09885025
2018-10-27,25136,51.93198013
2018-10-28,21081,51.93747711
2018-10-29,22929,49.0713501
2018-10-30,25725,49.23905182
2018-10-31,24361,49.44153595
2018-11-01,25267,50.27194977
2018-11-02,25414,51.33067322
2018-11-03,24153,50.97339249
2018-11-04,22827,53.61246872
2018-11-05,24733,53.54633331
2018-11-06,25299,55.94512939
2018-11-07,25583,54.18889999
2018-11-08,25286,52.37338257
2018-11-09,24769,51.89597321
2018-11-10,27590,52.40182114
2018-11-11,37337,51.36494446
2018-11-12,24121,50.6481781
2018-11-13,24360,49.69655228
2018-11-14,25042,43.61079025
2018-11-15,29297,43.94825745
2018-11-16,24980,42.45885849
2018-11-17,24355,41.92887115
2018-11-18,24303,42.32789612
2018-11-19,24771,36.64110947
2018-11-20,29557,33.04422379
2018-11-21,27364,34.67059708
2018-11-22,25236,32.19512177
2018-11-23,23861,32.15971375
2018-11-24,23430,29.21774292
2018-11-25,24115,30.8921833
2018-11-26,24669,29.4109745
2018-11-27,23302,31.06882858
2018-11-28,24504,34.62661743
2018-11-29,25688,33.79744705
2018-11-30,24627,32.06476282
2018-12-01,25625,34.34073612
2018-12-02,21691,33.7131504
2018-12-03,21766,31.07280128
2018-12-04,22588,31.18612412
2018-12-05,22143,29.29523912
2018-12-06,23654,26.94365995
2018-12-07,25219,25.27258518
2018-12-08,25713,24.86401802
2018-12-09,23161,25.94702298
2018-12-10,23075,24.61779979
2018-12-11,22716,23.80238432
2018-12-12,22622,24.49382989
2018-12-13,22541,23.66886222
2018-12-14,23417,23.46432964
2018-12-15,23629,23.78242352
2018-12-16,23020,25.59721028
2018-12-17,23472,29.2688896
2018-12-18,25305,30.14215599
2018-12-19,26822,29.6827863
2018-12-20,25929,32.81687311
2018-12-21,26435,30.79661755
2018-12-22,24331,31.85591167
2018-12-23,23591,33.45967455
2018-12-24,25689,33.196667
2018-12-25,20745,31.13432751
2018-12-26,20074,30.98590048
2018-12-27,23233,28.2945078
2018-12-28,24273,32.51083015
2018-12-29,26450,31.56500175
2018-12-30,23843,31.9765158
2018-12-31,23947,30.46822323
2019-01-01,17493,31.97993044
2019-01-02,21999,33.4336823
2019-01-03,24755,32.0266995
2019-01-04,24134,32.40416822
2019-01-05,24416,34.93686611
2019-01-06,24787,39.29885442
2019-01-07,24626,37.80627571
2019-01-08,23646,39.47971733
2019-01-09,23918,38.98553429
2019-01-10,24736,33.86600787
2019-01-11,24438,32.32762895
2019-01-12,23705,32.38442797
2019-01-13,23945,30.33289651
2019-01-14,21395,32.35824159
2019-01-15,24331,31.50706934
2019-01-16,23354,31.82341654
2019-01-17,23444,31.88865013
2019-01-18,25034,31.31148668
2019-01-19,26616,32.55072509
2019-01-20,21674,31.17640749
2019-01-21,22072,31.21286983
2019-01-22,23210,31.68442618
2019-01-23,20519,32.00195751
2019-01-24,20445,32.77610895
2019-01-25,23039,32.98181224
2019-01-26,23690,33.15052554
2019-01-27,22243,32.59283623
2019-01-28,22021,31.1992584
2019-01-29,23157,31.09711125
2019-01-30,22899,31.93095399
2019-01-31,22541,31.65217497
2019-02-01,23700,32.82707902
2019-02-02,24709,34.39483005
2019-02-03,22325,33.43925425
2019-02-04,22422,34.10862815
2019-02-05,23341,34.25664628
2019-02-06,21527,32.9329881
2019-02-07,23108,33.22241784
2019-02-08,25228,43.46472029
2019-02-09,33374,44.79028229
2019-02-10,25859,46.82740601
2019-02-11,26148,43.1825393
2019-02-12,24975,43.92864066
2019-02-13,24535,41.99764382
2019-02-14,24769,41.64054918
2019-02-15,23956,42.69966983
2019-02-16,23994,43.59476228
2019-02-17,23580,43.92836922
2019-02-18,25001,48.04317613
2019-02-19,26951,47.86467816
2019-02-20,26201,51.78596438
2019-02-21,26299,49.15159773
2019-02-22,24740,49.80573424
2019-02-23,25569,51.68092808
2019-02-24,26107,44.67859312
2019-02-25,24123,46.2130672
2019-02-26,24258,45.49112994
2019-02-27,23577,45.58142569
2019-02-28,24278,46.23725714
2019-03-01,24665,47.48723852
2019-03-02,26386,49.01536594
2019-03-03,22555,48.38032036
2019-03-04,22970,46.43203351
2019-03-05,25501,53.13245837
2019-03-06,27195,55.78427736
2019-03-07,28380,57.18903354
2019-03-08,27428,56.09954787
2019-03-09,27001,58.08689193
2019-03-10,23278,57.18186389
2019-03-11,21942,55.42021464
2019-03-12,24918,56.9970551
2019-03-13,24092,55.93318433
2019-03-14,24418,56.58418367
2019-03-15,25742,58.98925928
2019-03-16,26228,61.84475248
2019-03-17,21274,61.24378026
2019-03-18,22809,60.26480648
2019-03-19,23674,60.61556823
2019-03-20,23741,60.84654711
2019-03-21,25011,59.37832486
2019-03-22,24793,59.8240014
2019-03-23,25324,61.34861519
2019-03-24,20467,60.22387667
2019-03-25,21219,59.49673729
2019-03-26,22246,59.34352874
2019-03-27,23046,62.25142889
2019-03-28,23839,61.17048611
2019-03-29,25018,61.3016126
2019-03-30,28332,60.62196223
2019-03-31,23959,60.75539786
2019-04-01,25329,60.67799398
2019-04-02,32613,76.19325969
2019-04-03,36643,84.92193788
2019-04-04,36324,84.98090528
2019-04-05,27619,88.6778606
2019-04-06,25951,92.57341716
2019-04-07,25742,92.31236915
2019-04-08,27435,89.49304255
2019-04-09,24169,86.78696151
2019-04-10,24865,88.37774077
2019-04-11,27864,79.67799061
2019-04-12,24676,78.96396119
2019-04-13,23514,78.2213036
2019-04-14,20566,82.93752124
2019-04-15,24045,79.05469905
2019-04-16,25028,81.34927812
2019-04-17,24316,79.32746821
2019-04-18,24430,82.07487824
2019-04-19,25126,82.56922278
2019-04-20,24355,81.51249862
2019-04-21,20520,77.33155912
2019-04-22,20605,76.94807773
2019-04-23,24171,74.8450218
2019-04-24,25815,73.30894315
2019-04-25,24458,71.24811783
2019-04-26,25724,73.11534657
2019-04-27,24193,72.12090375
2019-04-28,20662,69.72679997
2019-04-29,22234,67.96038021
2019-04-30,22611,74.28087406
2019-05-01,24540,73.65776862
2019-05-02,21431,73.77717585
2019-05-03,23712,79.32653441
2019-05-04,22640,78.06383864
2019-05-05,21443,75.98436729
2019-05-06,22164,74.98275661
2019-05-07,25005,74.69300115
2019-05-08,23657,74.62028794
2019-05-09,23775,74.17714037
2019-05-10,26184,77.1666508
2019-05-11,29766,89.22225597
2019-05-12,27258,84.56551105
2019-05-13,23870,88.05823611
2019-05-14,31156,91.62040611
2019-05-15,31398,101.74456602
2019-05-16,38593,95.58558498
2019-05-17,33058,88.99523448
2019-05-18,27426,86.70018943
2019-05-19,25767,95.32120147
2019-05-20,28304,91.4936784
2019-05-21,28793,91.50774852
2019-05-22,28747,88.21057228
2019-05-23,27736,89.17677609
2019-05-24,32021,99.90303405
2019-05-25,30783,102.67231808
2019-05-26,24597,111.41860284
2019-05-27,32363,118.03260328
2019-05-28,31379,114.93115993
2019-05-29,31701,115.08123259
2019-05-30,32523,108.79558041
2019-05-31,32631,114.53695927
2019-06-01,27912,112.61926672
2019-06-02,24747,114.70283772
2019-06-03,25313,107.46857554
2019-06-04,27113,102.08782351
