Time,LTC number of daily transactions on the chain,Price
2013-03-16,3684,
2013-03-17,3888,
2013-03-18,3470,
2013-03-19,3513,
2013-03-20,2975,
2013-03-21,3942,
2013-03-22,2881,
2013-03-23,3268,
2013-03-24,3918,
2013-03-25,5362,
2013-03-26,5479,
2013-03-27,5184,
2013-03-28,4860,
2013-03-29,4437,
2013-03-30,4980,
2013-03-31,5246,
2013-04-01,6256,
2013-04-02,8942,
2013-04-03,12163,
2013-04-04,9952,
2013-04-05,10531,
2013-04-06,9682,
2013-04-07,8540,
2013-04-08,10939,
2013-04-09,10229,
2013-04-10,11648,
2013-04-11,11773,
2013-04-12,9853,
2013-04-13,9592,
2013-04-14,10251,
2013-04-15,8949,
2013-04-16,9042,
2013-04-17,8994,
2013-04-18,8411,
2013-04-19,8889,
2013-04-20,7399,
2013-04-21,8007,
2013-04-22,8710,
2013-04-23,8249,
2013-04-24,9003,
2013-04-25,10024,
2013-04-26,8689,
2013-04-27,9348,
2013-04-28,9922,
2013-04-29,9470,
2013-04-30,10308,4.40351725
2013-05-01,9386,4.28954124
2013-05-02,9068,3.78002214
2013-05-03,7371,3.3904376
2013-05-04,6798,3.03227091
2013-05-05,5962,3.49312592
2013-05-06,9917,3.59422016
2013-05-07,10115,3.37086749
2013-05-08,10107,3.28361988
2013-05-09,11437,3.39939594
2013-05-10,13162,3.4065299
2013-05-11,8237,3.46038008
2013-05-12,7301,3.36281109
2013-05-13,7283,3.26088858
2013-05-14,7681,3.28101492
2013-05-15,7251,2.82399011
2013-05-16,7796,2.92974305
2013-05-17,7640,2.89141655
2013-05-18,6048,3.19864917
2013-05-19,6403,3.30205488
2013-05-20,6720,3.31485009
2013-05-21,7012,3.19326329
2013-05-22,5988,3.09191275
2013-05-23,6140,3.11852193
2013-05-24,6654,3.17013001
2013-05-25,6259,3.18774509
2013-05-26,5555,3.12410855
2013-05-27,5332,3.23070002
2013-05-28,5702,3.10280037
2013-05-29,5922,3.09212899
2013-05-30,5654,3.07745743
2013-05-31,5898,2.97139311
2013-06-01,5033,2.94213581
2013-06-02,4831,2.82779098
2013-06-03,5081,2.73052502
2013-06-04,5153,2.70330501
2013-06-05,5167,2.8674674
2013-06-06,4941,2.87684035
2013-06-07,5491,2.7791369
2013-06-08,5323,2.60405993
2013-06-09,5570,2.55273461
2013-06-10,6109,2.38438463
2013-06-11,5223,2.49284434
2013-06-12,5245,2.41216993
2013-06-13,5273,2.39850903
2013-06-14,5405,2.26920676
2013-06-15,4588,2.1389997
2013-06-16,3914,2.08581996
2013-06-17,4071,2.13885903
2013-06-18,5043,2.28164101
2013-06-19,5352,2.30478644
2013-06-20,4996,2.29816866
2013-06-21,4983,2.32596111
2013-06-22,5542,2.86342502
2013-06-23,5349,2.89759588
2013-06-24,5045,3.13449526
2013-06-25,4835,2.84831095
2013-06-26,5575,2.80642462
2013-06-27,4961,2.88080001
2013-06-28,5115,3.03684282
2013-06-29,4683,2.76123214
2013-06-30,4209,2.78822064
2013-07-01,5286,3.00915861
2013-07-02,5709,2.94967508
2013-07-03,6092,2.84685397
2013-07-04,5440,2.67515993
2013-07-05,4202,2.7068615
2013-07-06,4682,2.42302251
2013-07-07,4070,2.45777678
2013-07-08,5224,2.71115971
2013-07-09,4654,2.5847609
2013-07-10,4916,2.60924721
2013-07-11,5212,2.83712006
2013-07-12,5353,2.72275782
2013-07-13,4047,2.80747962
2013-07-14,4146,2.92842889
2013-07-15,4600,2.87367344
2013-07-16,5287,2.9993422
2013-07-17,4960,3.07634521
2013-07-18,4845,3.14510536
2013-07-19,4222,2.88130379
2013-07-20,4902,2.96239996
2013-07-21,3903,2.87428427
2013-07-22,4401,2.94577599
2013-07-23,4340,2.8872323
2013-07-24,4447,2.9881146
2013-07-25,4197,2.94855642
2013-07-26,4071,2.98315144
2013-07-27,3919,2.89692783
2013-07-28,3869,2.88486409
2013-07-29,3979,2.94328332
2013-07-30,4518,2.97261262
2013-07-31,4000,3.0010097
2013-08-01,4388,2.87411332
2013-08-02,3974,2.94225001
2013-08-03,4424,2.84242773
2013-08-04,4349,3.01101542
2013-08-05,5175,2.99907351
2013-08-06,4293,2.84408832
2013-08-07,4944,2.82161355
2013-08-08,4550,2.75361848
2013-08-09,4314,2.71074104
2013-08-10,4262,2.68513608
2013-08-11,4155,2.55130982
2013-08-12,4121,2.69429994
2013-08-13,4402,2.65549135
2013-08-14,4093,2.75969052
2013-08-15,4972,2.7352581
2013-08-16,3930,2.76197362
2013-08-17,3871,2.71722984
2013-08-18,3645,2.80070996
2013-08-19,4437,2.80048609
2013-08-20,4849,2.82386994
2013-08-21,5001,2.77449799
2013-08-22,4826,2.69410539
2013-08-23,4551,2.78159809
2013-08-24,4691,2.73876691
2013-08-25,4652,2.67909718
2013-08-26,4130,2.57654262
2013-08-27,4423,2.56829739
2013-08-28,4579,2.57513285
2013-08-29,4358,2.53700781
2013-08-30,4424,2.53509212
2013-08-31,4586,2.6564765
